"";"city";"country";"type";"name";"lat";"lon"
"122";"Granada";"Spain";"epoch";"Granada";"37.183054";"-3.6021928"
"123";"Huelva";"Spain";"epoch";"Huelva";"37.2575874";"-6.9484945"
"124";"Iruna";"Spain";"epoch";"Iruna";"42.8184538";"-1.6442556"
"125";"Jaen";"Spain";"epoch";"Jaen";"37.7728858";"-3.7883289"
"126";"Jerez de la Frontera";"Spain";"epoch";"Jerez de la Frontera";"36.6816936";"-6.1377402"
"129";"Langreo";"Spain";"epoch";"Langreo";"43.2955423";"-5.6839733"
"130";"Leon";"Spain";"epoch";"Leon";"42.5989995";"-5.5682413"
"131";"Linares";"Spain";"epoch";"Linares";"38.0928249";"-3.6343581"
"132";"Linea de la Concepcion";"Spain";"epoch";"Linea de la Concepcion";"36.1677899";"-5.3482396"
"133";"Lleida";"Spain";"epoch";"Lleida";"41.6147605";"0.6267842"
"134";"Logrono";"Spain";"epoch";"Logrono";"42.4661196";"-2.4396676"
"135";"Lorca";"Spain";"epoch";"Lorca";"37.6715679";"-1.6988053"
"137";"Lugo";"Spain";"epoch";"Lugo";"43.0462247";"-7.4739921"
"138";"Manresa";"Spain";"epoch";"Manresa";"41.7288939";"1.8286765"
"139";"Mataro";"Spain";"epoch";"Mataro";"41.5398348";"2.4448926"
"140";"Melilla";"Spain";"epoch";"Melilla";"35.2918698";"-2.9409026"
"141";"Mieres";"Spain";"epoch";"Mieres";"42.1244124";"2.6401122"
"142";"Orihuela";"Spain";"epoch";"Orihuela";"38.0906911";"-0.946613"
"143";"Ourense";"Spain";"epoch";"Ourense";"42.1968459";"-7.6114105"
"144";"Oviedo";"Spain";"epoch";"Oviedo";"43.3533424";"-5.87951434"
"145";"Palencia";"Spain";"epoch";"Palencia";"42.0108856";"-4.5328735"
"146";"Palma de Mallorca";"Spain";"epoch";"Palma de Mallorca";"39.5695818";"2.6500745"
"147";"Palmas de Gran Canaria";"Spain";"epoch";"Palmas de Gran Canaria";"28.128874";"-15.4349448"
"149";"Pontevedra";"Spain";"epoch";"Pontevedra";"42.6075172";"-8.4714942"
"150";"Reus";"Spain";"epoch";"Reus";"41.1555564";"1.1076133"
"153";"Sabadell";"Spain";"epoch";"Sabadell";"41.5421013";"2.1138977"
"154";"Salamanca";"Spain";"epoch";"Salamanca";"40.9651572";"-5.6640182"
"155";"San Cristobal de la Laguna";"Spain";"epoch";"San Cristobal de la Laguna";"28.4857715";"-16.3159422"
"156";"San Fernando";"Spain";"epoch";"San Fernando";"36.45787";"-6.2048562"
"157";"Sanlucar de Barrameda";"Spain";"epoch";"Sanlucar de Barrameda";"36.7761393";"-6.3534794"
"158";"Santa Cruz de Tenerife";"Spain";"epoch";"Santa Cruz de Tenerife";"28.469648";"-16.2540884"
"159";"Santander";"Spain";"epoch";"Santander";"43.4620412";"-3.8099719"
"160";"Santiago de Compostela";"Spain";"epoch";"Santiago de Compostela";"42.8804219";"-8.5458608"
"161";"Talavera de la Reina";"Spain";"epoch";"Talavera de la Reina";"39.9603798";"-4.8311717"
"162";"Tarragona";"Spain";"epoch";"Tarragona";"41.1172364";"1.2546057"
"164";"Terrassa";"Spain";"epoch";"Terrassa";"41.5629885";"2.0102442"
"166";"Toledo";"Spain";"epoch";"Toledo";"39.8560679";"-4.0239568"
"167";"Tortosa";"Spain";"epoch";"Tortosa";"40.8110158";"0.5209333"
"168";"Utrera";"Spain";"epoch";"Utrera";"37.1824646";"-5.7817506"
"170";"Valladolid";"Spain";"epoch";"Valladolid";"41.6521328";"-4.728562"
"171";"Velez-Malaga";"Spain";"epoch";"Velez-Malaga";"36.7818408";"-4.0988568"
"172";"Vigo";"Spain";"epoch";"Vigo";"42.1964491";"-8.7117809"
"173";"Vitoria-Gasteiz";"Spain";"epoch";"Vitoria-Gasteiz";"42.8465088";"-2.6724025"
"175";"Zamora";"Spain";"epoch";"Zamora";"41.5056574";"-5.7448039"
"184";"Alessandria";"Italy";"epoch";"Alessandria";"44.9129225";"8.615321"
"185";"Ancona";"Italy";"epoch";"Ancona";"43.6170137";"13.5170982"
"186";"Andria";"Italy";"epoch";"Andria";"41.227674";"16.2947553"
"187";"Arezzo";"Italy";"epoch";"Arezzo";"43.4640246";"11.86046188"
"188";"Bari";"Italy";"epoch";"Bari";"41.1257843";"16.8620293"
"189";"Bergamo";"Italy";"epoch";"Bergamo";"45.6944947";"9.6698727"
"190";"Bolzano";"Italy";"epoch";"Bolzano";"46.4981125";"11.3547801"
"191";"Brescia";"Italy";"epoch";"Brescia";"45.5398022";"10.2200214"
"192";"Cagliari";"Italy";"epoch";"Cagliari";"39.2169525";"9.1128513"
"193";"Caltanissetta";"Italy";"epoch";"Caltanissetta";"37.4899412";"14.0631618"
"195";"Caserta";"Italy";"epoch";"Caserta";"41.0820827";"14.334708"
"196";"Castellammare di Stabia";"Italy";"epoch";"Castellammare di Stabia";"40.6943046";"14.4804813"
"197";"Catania";"Italy";"epoch";"Catania";"37.5022355";"15.08738"
"198";"Catanzaro";"Italy";"epoch";"Catanzaro";"38.9076353";"16.5960465"
"199";"Cesena";"Italy";"epoch";"Cesena";"44.136352";"12.2422442"
"201";"Cosenza";"Italy";"epoch";"Cosenza";"39.3099931";"16.2501929"
"202";"Cremona";"Italy";"epoch";"Cremona";"45.1334796";"10.0248716"
"203";"Faenza";"Italy";"epoch";"Faenza";"44.2855555";"11.8832055"
"204";"Ferrara";"Italy";"epoch";"Ferrara";"44.8372737";"11.6186451"
"205";"Foggia";"Italy";"epoch";"Foggia";"41.4623447";"15.5430624"
"206";"Forli";"Italy";"epoch";"Forli";"44.2227182";"12.0412435"
"207";"Gela";"Italy";"epoch";"Gela";"37.0664363";"14.2502445"
"210";"La Spezia";"Italy";"epoch";"La Spezia";"44.107033";"9.8282255"
"211";"Laquila";"Italy";"epoch";"Laquila";"42.3489203";"13.3979672"
"213";"Lecce";"Italy";"epoch";"Lecce";"40.3570373";"18.1718482"
"214";"Livorno";"Italy";"epoch";"Livorno";"43.5507411";"10.3091456"
"215";"Lucca";"Italy";"epoch";"Lucca";"43.8428381";"10.502876"
"216";"Mantova";"Italy";"epoch";"Mantova";"45.1566683";"10.7917191"
"217";"Marsala";"Italy";"epoch";"Marsala";"37.7979221";"12.4342091"
"218";"Messina";"Italy";"epoch";"Messina";"38.1937571";"15.5542082"
"219";"Modena";"Italy";"epoch";"Modena";"44.6458885";"10.9255707"
"221";"Monza";"Italy";"epoch";"Monza";"45.5834418";"9.2735257"
"222";"Novara";"Italy";"epoch";"Novara";"45.4464036";"8.619655"
"223";"Padova";"Italy";"epoch";"Padova";"45.4077172";"11.8734455"
"224";"Parma";"Italy";"epoch";"Parma";"44.8013678";"10.3280833"
"225";"Pavia";"Italy";"epoch";"Pavia";"45.1860043";"9.1546375"
"226";"Perugia";"Italy";"epoch";"Perugia";"43.1119613";"12.3890104"
"227";"Pesaro";"Italy";"epoch";"Pesaro";"43.9098114";"12.9131228"
"228";"Pescara";"Italy";"epoch";"Pescara";"42.469613";"14.2059269"
"229";"Piacenza";"Italy";"epoch";"Piacenza";"45.0534751";"9.6947461"
"230";"Pisa";"Italy";"epoch";"Pisa";"43.7159395";"10.4018624"
"231";"Pistoia";"Italy";"epoch";"Pistoia";"43.9336213";"10.9174238"
"232";"Prato";"Italy";"epoch";"Prato";"43.880598";"11.0969262"
"233";"Ravenna";"Italy";"epoch";"Ravenna";"44.4161414";"12.2017617"
"234";"Reggio di Calabria";"Italy";"epoch";"Reggio di Calabria";"38.1035389";"15.6397556"
"235";"Reggio nellEmilia";"Italy";"epoch";"Reggio nellEmilia";"44.6978446";"10.6304958"
"236";"Rimini";"Italy";"epoch";"Rimini";"44.0593886";"12.5684371"
"237";"Salerno";"Italy";"epoch";"Salerno";"40.6803601";"14.7594542"
"238";"Sassari";"Italy";"epoch";"Sassari";"40.7232643";"8.5610074"
"239";"Sesto San Giovanni";"Italy";"epoch";"Sesto San Giovanni";"45.5357218";"9.2376549"
"240";"Siena";"Italy";"epoch";"Siena";"43.3185536";"11.3316533"
"241";"Siracusa";"Italy";"epoch";"Siracusa";"37.0646139";"15.2907196"
"242";"Taranto";"Italy";"epoch";"Taranto";"40.4712427";"17.2432278"
"243";"Terni";"Italy";"epoch";"Terni";"42.5641417";"12.6405466"
"244";"Torre Annunziata";"Italy";"epoch";"Torre Annunziata";"40.7525236";"14.4550044"
"245";"Torre del Greco";"Italy";"epoch";"Torre del Greco";"40.7879211";"14.3682813"
"246";"Trapani";"Italy";"epoch";"Trapani";"38.0174321";"12.515992"
"247";"Trento";"Italy";"epoch";"Trento";"46.0664228";"11.1257601"
"248";"Trieste";"Italy";"epoch";"Trieste";"45.6500335";"13.7706559"
"249";"Udine";"Italy";"epoch";"Udine";"46.0634632";"13.2358377"
"250";"Venezia";"Italy";"epoch";"Venezia";"45.4371908";"12.3345898"
"251";"Verona";"Italy";"epoch";"Verona";"45.4384958";"10.9924122"
"252";"Vicenza";"Italy";"epoch";"Vicenza";"45.5488306";"11.5478825"
"253";"Vigevano";"Italy";"epoch";"Vigevano";"45.3170942";"8.858603"
"261";"Acambaro";"Mexico";"epoch";"Acambaro";"20.07084755";"-100.7447445"
"262";"Acapulco";"Mexico";"epoch";"Acapulco";"16.8680495";"-99.8940182"
"264";"Aguascalientes";"Mexico";"epoch";"Aguascalientes";"21.8806553";"-102.2961323"
"269";"Campeche";"Mexico";"epoch";"Campeche";"19.32920555";"-89.94391483"
"271";"Celaya";"Mexico";"epoch";"Celaya";"20.5222851";"-100.8307739"
"273";"Chihuahua";"Mexico";"epoch";"Chihuahua";"28.5000001";"-106.0000001"
"274";"Ciudad Guzman";"Mexico";"epoch";"Ciudad Guzman";"19.7001632";"-103.4639353"
"275";"Ciudad Madero";"Mexico";"epoch";"Ciudad Madero";"22.2783046";"-97.82426861"
"276";"Ciudad Obregon";"Mexico";"epoch";"Ciudad Obregon";"27.4846619";"-109.9337782"
