,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,netDistance,totalDistance,,,,,,,,,,,
Burin,101,101,-5,101,101,101,101,101,101,101,101,101,101,0,106,-106,0,0,0,0,0,0,0,0,0
Kelow101,101,101,-1,9,101,101,101,34,0,2,8,9,10,0,102,-10,-92,0,0,67,34,-2,-6,-1,-1
Trail,101,101,101,34,-18,101,101,101,101,101,101,101,101,0,0,67,52,-119,0,0,0,0,0,0,0
Yorkton,101,101,101,9,101,101,101,101,101,101,101,101,101,0,0,92,-92,0,0,0,0,0,0,0,0
Prince George,101,101,101,-5,101,101,101,13,4,-14,1,29,101,0,0,106,-106,0,0,88,9,18,-15,-28,-72
Abbotsford,101,101,101,-50,101,101,101,101,9,33,22,9,101,0,0,151,-151,0,0,0,92,-24,11,13,-92
Timmins,101,101,101,101,68,-21,6,-30,-7,-17,101,26,42,0,0,0,33,89,-27,36,-23,10,-118,75,-16
Granby,101,101,101,101,17,2,-1,-22,-15,1,-1,45,28,0,0,0,84,15,3,21,-7,-16,2,-46,17
Thetford Mines,101,101,101,101,-14,-14,6,101,101,101,101,101,101,0,0,0,115,0,-20,-95,0,0,0,0,0
Corner Brook,101,101,101,101,6,1,-8,101,101,101,101,101,101,0,0,0,95,5,9,-109,0,0,0,0,0
Cap-de-la-Madeleine,101,101,101,101,1,101,2,101,101,101,101,101,101,0,0,0,100,-100,99,-99,0,0,0,0,0
Forest Hill,101,101,101,101,-3,-6,101,101,101,101,101,101,101,0,0,0,104,3,-107,0,0,0,0,0,0
Victoriaville,101,101,101,101,0,-15,7,101,101,101,101,6,6,0,0,0,101,15,-22,-94,0,0,0,95,0
New Toronto,101,101,101,101,-3,101,101,101,101,101,101,101,101,0,0,0,104,-104,0,0,0,0,0,0,0
New Waterford,101,101,101,101,-2,101,101,101,101,101,101,101,101,0,0,0,103,-103,0,0,0,0,0,0,0
North Vancouver,101,101,101,101,-4,13,-4,-20,35,101,1,101,101,0,0,0,105,-17,17,16,-55,-66,100,-100,0
Rouyn-Noranda,101,101,101,101,-26,3,28,101,101,101,101,101,101,0,0,0,127,-29,-25,-73,0,0,0,0,0
Grand'Mere,101,101,101,101,-34,101,101,101,101,101,101,101,101,0,0,0,135,-135,0,0,0,0,0,0,0
Mimico,101,101,101,101,-4,101,-1,101,101,101,101,101,101,0,0,0,105,-105,102,-102,0,0,0,0,0
Eastview,101,101,101,101,-1,20,2,101,101,101,101,101,101,0,0,0,102,-21,18,-99,0,0,0,0,0
La Tuque,101,101,101,101,-23,101,101,101,101,101,101,101,101,0,0,0,124,-124,0,0,0,0,0,0,0
North York,101,101,101,101,101,90,101,2,-2,-1,101,101,101,0,0,0,0,11,-11,99,4,-1,-102,0,0
Scarborough,101,101,101,101,101,-1,101,0,0,0,101,101,101,0,0,0,0,102,-102,101,0,0,-101,0,0
Etobicoke,101,101,101,101,101,-2,101,-1,0,-5,101,101,101,0,0,0,0,103,-103,102,-1,5,-106,0,0
East York,101,101,101,101,101,-1,101,-12,-6,-14,101,101,101,0,0,0,0,102,-102,113,-6,8,-115,0,0
Saint John,101,101,101,101,101,27,101,-6,-5,-4,-4,12,15,0,0,0,0,74,-74,107,-1,-1,0,-16,-3
Saanich,101,101,101,101,101,-5,101,-15,0,-3,3,101,101,0,0,0,0,106,-106,116,-15,3,-6,-98,0
Jacques-Cartier,101,101,101,101,101,8,-1,101,101,101,101,101,101,0,0,0,0,93,9,-102,0,0,0,0,0
Saint James-Assiniboia,101,101,101,101,101,-9,101,5,101,101,101,101,101,0,0,0,0,110,-110,96,-96,0,0,0,0
Richmond,101,101,101,101,101,-7,101,-1,14,6,9,101,101,0,0,0,0,108,-108,102,-15,8,-3,-92,0
Montreal-Nord,101,101,101,101,101,-29,101,101,101,101,101,101,101,0,0,0,0,130,-130,0,0,0,0,0,0
La Salle,101,101,101,101,101,-23,101,33,-8,-13,101,101,101,0,0,0,0,124,-124,68,41,5,-114,0,0
East Kildo101n,101,101,101,101,101,-13,15,101,101,101,101,101,101,0,0,0,0,114,-28,-86,0,0,0,0,0
Leaside,101,101,101,101,101,-22,101,101,101,101,101,101,101,0,0,0,0,123,-123,0,0,0,0,0,0
Mont-Royal,101,101,101,101,101,-6,101,101,101,101,101,101,101,0,0,0,0,107,-107,0,0,0,0,0,0
West Kildo101n,101,101,101,101,101,-3,10,101,101,101,101,101,101,0,0,0,0,104,-13,-91,0,0,0,0,0
Pointe-Claire,101,101,101,101,101,-11,18,101,101,101,101,101,101,0,0,0,0,112,-29,-83,0,0,0,0,0
Oak Bay,101,101,101,101,101,-19,101,101,101,101,101,101,101,0,0,0,0,120,-120,0,0,0,0,0,0
Rimouski,101,101,101,101,101,-1,18,101,101,101,101,15,101,0,0,0,0,102,-19,-83,0,0,0,86,-86
Burlington,101,101,101,101,101,101,28,0,4,-1,1,101,27,0,0,0,0,0,73,28,-4,5,-2,-100,74
Sainte-Foy,101,101,101,101,101,101,-26,11,-10,-14,0,101,26,0,0,0,0,0,127,-37,21,4,-14,-101,75
Longueuil,101,101,101,101,101,101,-4,43,3,-3,-7,101,3,0,0,0,0,0,105,-47,40,6,4,-108,98
Alma,101,101,101,101,101,101,-48,101,101,101,101,101,101,0,0,0,0,0,149,-149,0,0,0,0,0
Transco101,101,101,101,101,101,101,-5,101,101,101,101,101,101,0,0,0,0,0,106,-106,0,0,0,0,0
Laval,101,101,101,101,101,101,101,79,-2,0,2,101,101,0,0,0,0,0,0,22,81,-2,-2,-99,0
Mississauga,101,101,101,101,101,101,101,-5,9,0,3,101,101,0,0,0,0,0,0,106,-14,9,-3,-98,0
Bur101by,101,101,101,101,101,101,101,-18,-4,1,7,101,101,0,0,0,0,0,0,119,-14,-5,-6,-94,0
Surrey,101,101,101,101,101,101,101,-10,4,6,8,101,101,0,0,0,0,0,0,111,-14,-2,-2,-93,0
Saint-Leo101rd,101,101,101,101,101,101,101,-47,11,-19,-9,101,101,0,0,0,0,0,0,148,-58,30,-10,-110,0
Chilliwack,101,101,101,101,101,101,101,15,-3,3,7,14,101,0,0,0,0,0,0,86,18,-6,-4,-7,-87
Saint-Hubert,101,101,101,101,101,101,101,-40,11,5,-1,101,101,0,0,0,0,0,0,141,-51,6,6,-102,0
Markham,101,101,101,101,101,101,101,-16,30,22,10,101,101,0,0,0,0,0,0,117,-46,8,12,-91,0
West Vancouver,101,101,101,101,101,101,101,-63,101,101,101,101,101,0,0,0,0,0,0,164,-164,0,0,0,0
Pointe-aux-Trembles,101,101,101,101,101,101,101,-1,101,101,101,101,101,0,0,0,0,0,0,102,-102,0,0,0,0
Anjou,101,101,101,101,101,101,101,-6,-5,101,101,101,101,0,0,0,0,0,0,107,-1,-106,0,0,0
Chateauguay,101,101,101,101,101,101,101,4,-5,101,101,40,101,0,0,0,0,0,0,97,9,-106,0,61,-61
Charlesbourg,101,101,101,101,101,101,101,-36,33,-14,-2,101,101,0,0,0,0,0,0,137,-69,47,-12,-103,0
Pierrefonds,101,101,101,101,101,101,101,-18,4,-8,5,101,101,0,0,0,0,0,0,119,-22,12,-13,-96,0
Pickering,101,101,101,101,101,101,101,-6,5,16,20,101,101,0,0,0,0,0,0,107,-11,-11,-4,-81,0
Gatineau,101,101,101,101,101,101,101,101,2,0,4,101,101,0,0,0,0,0,0,0,99,2,-4,-97,0
Delta,101,101,101,101,101,101,101,101,-5,0,3,101,101,0,0,0,0,0,0,0,106,-5,-3,-98,0
Beauport,101,101,101,101,101,101,101,101,-18,-4,4,101,101,0,0,0,0,0,0,0,119,-14,-8,-97,0
Brossard,101,101,101,101,101,101,101,101,-6,-3,-3,101,101,0,0,0,0,0,0,0,107,-3,0,-104,0
Dollard-des-Ormeaux,101,101,101,101,101,101,101,101,-4,101,101,101,101,0,0,0,0,0,0,0,105,-105,0,0,0
Stoney Creek,101,101,101,101,101,101,101,101,-10,3,101,101,101,0,0,0,0,0,0,0,111,-13,-98,0,0
Vaughan,101,101,101,101,101,101,101,101,101,48,23,101,101,0,0,0,0,0,0,0,0,53,25,-78,0
Gloucester,101,101,101,101,101,101,101,101,101,-24,101,101,101,0,0,0,0,0,0,0,0,125,-125,0,0
Nepean,101,101,101,101,101,101,101,101,101,-2,101,101,101,0,0,0,0,0,0,0,0,103,-103,0,0
Coquitlam,101,101,101,101,101,101,101,101,101,-9,12,101,101,0,0,0,0,0,0,0,0,110,-21,-89,0
Chatmam,101,101,101,101,101,101,101,101,101,-18,101,101,101,0,0,0,0,0,0,0,0,119,-119,0,0
Ajax,101,101,101,101,101,101,101,101,101,-24,18,101,101,0,0,0,0,0,0,0,0,125,-42,-83,0
Repentigny,101,101,101,101,101,101,101,101,101,-25,1,101,101,0,0,0,0,0,0,0,0,126,-26,-100,0
St. Catharines,101,101,101,101,101,101,101,101,101,101,55,101,101,0,0,0,0,0,0,0,0,0,46,-46,0
Cape Breton,101,101,101,101,101,101,101,101,101,101,-10,13,101,0,0,0,0,0,0,0,0,0,111,-23,-88
Langley,101,101,101,101,101,101,101,101,101,101,-22,101,101,0,0,0,0,0,0,0,0,0,123,-123,0
LaSalle,101,101,101,101,101,101,101,101,101,101,-11,101,101,0,0,0,0,0,0,0,0,0,112,-112,0
Strathco101 County,101,101,101,101,101,101,101,101,101,101,-5,101,101,0,0,0,0,0,0,0,0,0,106,-106,0
Clarington,101,101,101,101,101,101,101,101,101,101,-2,101,101,0,0,0,0,0,0,0,0,0,103,-103,0
Kawartha Lakes,101,101,101,101,101,101,101,101,101,101,-2,101,101,0,0,0,0,0,0,0,0,0,103,-103,0
Maple Ridge,101,101,101,101,101,101,101,101,101,101,-6,101,101,0,0,0,0,0,0,0,0,0,107,-107,0
Norfolk,101,101,101,101,101,101,101,101,101,101,-3,101,101,0,0,0,0,0,0,0,0,0,104,-104,0
St. Albert,101,101,101,101,101,101,101,101,101,101,-8,101,101,0,0,0,0,0,0,0,0,0,109,-109,0
Port Coquitlam,101,101,101,101,101,101,101,101,101,101,-2,101,101,0,0,0,0,0,0,0,0,0,103,-103,0
Caledon,101,101,101,101,101,101,101,101,101,101,-1,101,101,0,0,0,0,0,0,0,0,0,102,-102,0
