,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Samara,88,56,11,4,0,7,1,-1,-3,0,-2
Pskov,89,23,-28,-27,NA,NA,NA,NA,NA,NA,NA
Dubno,90,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tashkent,91,NA,82,1,-3,6,1,1,0,0,0
Baku,92,NA,76,13,-4,-5,2,1,0,4,1
Novosibirsk,93,NA,NA,66,11,9,0,0,0,0,0
Donetsk,94,NA,NA,76,13,2,-2,0,0,-3,-2
Almaty,95,NA,NA,-18,76,7,4,1,5,1,8
Volgograd,96,NA,54,21,7,-3,1,1,-1,4,0
Chelyabinsk,97,NA,NA,26,47,15,-3,-1,-1,0,0
Erevan,98,15,2,16,24,15,3,6,2,-1,-3
Krasnoyarsk,99,NA,-11,42,19,16,4,0,2,2,1
Ashgabat,100,NA,NA,2,25,-17,3,5,6,40,10
Novokuznetsk,101,NA,NA,24,56,10,-4,-8,-1,-2,-2
Bishkek,102,NA,NA,NA,-24,62,23,2,-3,14,-1
Dushambe,103,NA,NA,NA,NA,38,16,5,4,7,3
Krasnodar,104,NA,71,14,-24,4,3,1,-1,1,4
Zaporizhzha,105,NA,NA,15,61,-2,1,0,0,1,-3
Toljatti,106,NA,NA,NA,NA,NA,36,30,3,6,-2
Lviv,107,NA,NA,NA,85,-12,1,0,2,-1,-2
Mahachkala,108,NA,NA,NA,20,-20,10,14,2,36,11
Vladivostok,109,NA,9,65,0,-3,4,0,2,-2,-2
Karagandy,110,NA,NA,NA,NA,86,0,-2,0,-12,1
Bar0ul,111,-4,NA,57,0,15,5,1,-2,0,-1
Krivii Rig,112,NA,NA,NA,67,13,0,0,-1,-4,-4
Izhevsk,113,NA,NA,39,23,2,2,5,-1,-1,0
Asta0 / tselinograd,114,NA,NA,NA,NA,NA,NA,-14,0,55,27
Shymkent,115,NA,NA,NA,NA,14,13,8,-1,4,30
0mangan,116,NA,79,-18,-67,-4,NA,12,39,21,6
Tyumen,117,7,11,-1,-23,17,26,5,8,11,6
Cheboksary,118,NA,NA,NA,NA,NA,35,14,17,4,-3
Khabarovsk,119,NA,NA,10,65,0,0,-1,-1,-1,-5
Kemerovo,120,NA,NA,NA,51,28,1,-3,-4,-3,-4
Lipetsk,121,15,NA,NA,-2,33,13,4,4,3,-4
Andijan,122,NA,65,5,-37,-14,-6,12,17,19,5
0berezhnye Tchelny,123,NA,NA,NA,NA,NA,NA,29,30,6,-4
Gomel,124,-2,53,23,-17,-24,13,8,7,-3,2
Maryupol' / Jdanov,125,NA,36,-31,82,-9,1,-1,-8,-5,-5
Luhansk,126,NA,NA,62,25,-9,-2,-3,-4,-6,-4
Pyatigorsk,127,NA,-1,87,-38,-3,10,-4,-2,6,4
Kaliningrad,128,NA,122,-7,-34,-30,4,-1,-3,6,2
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chernivtsi,NA,47,-8,0,-56,-13,-25,NA,NA,NA,NA
Simferopol,NA,94,-25,9,-19,-15,-1,0,-8,3,-4
Kau0s,NA,43,20,-11,-32,-1,2,-2,-1,-11,-6
Shaki,NA,37,-68,NA,NA,NA,NA,NA,NA,NA,NA
Ejsk,NA,64,-20,-51,NA,NA,NA,NA,NA,NA,NA
Stavropol,NA,68,-10,-10,-36,2,-3,3,6,17,6
Bolhov,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
0rva,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derbent,NA,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akhaltsikhe,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hvalynsk,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parnu,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valga,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kerch,NA,-4,15,NA,-12,NA,NA,NA,NA,NA,NA
Balta,NA,-4,-32,NA,NA,NA,NA,NA,NA,NA,NA
Mcensk,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novorosiisk,NA,-4,NA,27,-31,NA,NA,NA,NA,NA,NA
Cherkasi,NA,1,4,-27,NA,NA,NA,NA,5,2,-4
Zlatoust,NA,18,NA,-1,9,3,-35,NA,NA,NA,NA
Gyumri,NA,23,14,-35,NA,NA,NA,NA,NA,NA,NA
Bryansk,NA,19,-12,NA,14,35,3,0,-1,-2,-3
Skopin,NA,-36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uman,NA,-2,21,-25,NA,NA,NA,NA,NA,NA,NA
Daugavpils,NA,2,84,-56,NA,NA,NA,NA,NA,NA,NA
Ganca,NA,-29,30,-5,-9,NA,-21,NA,-8,12,4
Murom,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kamyshin,NA,-3,36,-45,NA,NA,NA,NA,NA,NA,NA
Pinsk,NA,8,17,NA,NA,NA,NA,NA,NA,NA,NA
Arzamas,NA,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vjazma,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vasil'kiv,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petrozavodsk,NA,-2,NA,NA,NA,7,-9,0,NA,NA,NA
Kizljar,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kokand,NA,NA,106,-47,-47,NA,NA,NA,NA,NA,NA
Kirovograd,NA,NA,78,-35,-21,-25,-1,-5,NA,NA,NA
Ivanovo,NA,NA,84,16,-1,-14,-3,-7,-11,-8,-2
Samarkand,NA,NA,28,9,-34,-8,1,29,-28,-2,-1
Smolensk,NA,NA,16,2,0,-35,-7,5,-3,-6,1
Ferga0,NA,NA,41,12,-40,-7,-10,13,10,3,2
Vladikavkaz,NA,NA,15,8,-14,-21,2,-10,-11,12,-4
Majkop,NA,NA,23,-16,NA,NA,NA,NA,NA,NA,NA
Osh,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
Blagoveshensk,NA,NA,-3,3,NA,NA,NA,NA,NA,NA,NA
Kustaisi,NA,NA,-4,-24,-9,3,NA,NA,NA,NA,NA
Vinnicya,NA,NA,23,-4,-9,NA,-4,27,-1,-4,0
Khuchand / leni0bad,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
Nizhni-Tagil,NA,NA,-1,-28,78,10,-6,-13,-3,-9,-5
Batumi,NA,NA,-29,-11,NA,NA,NA,NA,NA,NA,NA
Azov,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Berdyansk,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
Semei/semipalatinsk,NA,NA,-2,30,0,-13,1,-7,2,NA,-19
Rybinsk,NA,NA,4,25,25,-19,-21,-17,NA,NA,NA
Sergiposad,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Rivne,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA
Feodosiya,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
Vyborg,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
Buturlinvka,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
Troickch,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA
Gorlivka,NA,NA,NA,78,31,-7,-10,-6,-7,-16,-10
Armavir,NA,NA,NA,20,-64,NA,NA,NA,NA,NA,NA
Kramatorsk,NA,NA,NA,57,34,-15,-3,-4,-10,-9,-7
Groznyj,NA,NA,NA,5,17,-7,-5,-8,-6,NA,NA
Orehovozuev,NA,NA,NA,4,-22,NA,NA,NA,NA,NA,NA
Chita,NA,NA,NA,19,-14,4,-3,-2,2,-15,0
Krasnoturinsk,NA,NA,NA,13,-6,25,-43,NA,NA,NA,NA
Bukhara,NA,NA,NA,11,NA,NA,NA,NA,-17,15,10
Petropavlovsk,NA,NA,NA,-9,-2,-13,NA,NA,NA,NA,NA
Bijsk,NA,NA,NA,11,-10,17,-14,NA,NA,NA,NA
Stakhanov/Brianka,NA,NA,NA,4,62,-16,-18,-35,NA,NA,NA
Bila Tserkva,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Borisoglebsk,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA
Magnitogorsk,NA,NA,NA,NA,63,15,-14,-9,-3,-4,-4
