Rennes,30,0,0,5,0,7,-5,2,-2,2,2,0
Dijon,31,0,4,5,-1,-1,2,-12,8,-7,7,0
Le Mans,32,-2,-2,1,5,-3,1,12,-7,0,-2,-1
Calais,33,0,-2,-4,-15,-2,0,-39,40,0,1,0
Clermont-Ferrand,34,2,7,-2,8,4,-6,-5,4,-1,0,0
BesanÁon,35,-2,-1,8,-15,6,-2,4,-8,5,-2,-1
Boulogne-sur-Mer,36,-4,1,-55,32,15,-12,-1,4,-6,6,-4
Dunkerque,37,-4,-6,11,5,15,-11,-12,8,0,-2,-3
Lorient,38,-5,-1,15,-24,11,-5,-6,4,0,-1,1
Troyes,39,0,-1,-6,-1,-6,-1,11,1,-2,1,-1
BÈziers,40,-2,5,-6,-1,1,-9,-33,24,5,-11,0
Bayonne,41,-4,2,11,-4,0,2,2,-1,-3,5,3
Saint-Quentin,42,4,-19,-39,41,-18,11,-21,13,-4,-6,-9
Thionville,43,8,1,20,-13,-19,15,-16,7,-3,-1,-1
Bourges,44,-2,1,-2,-5,2,-10,-9,12,-3,2,-7
Caen,45,1,2,1,7,8,-3,2,-5,2,-2,-1
Cherbourg-Octeville,46,-2,-6,-12,5,30,-22,-9,3,-6,8,-5
MontbÈliard,47,11,4,9,-6,-11,4,-5,-2,-2,-6,-2
Poitiers,48,-1,-7,-5,19,-32,32,-6,-2,0,2,2
SËte,49,-11,2,-29,17,-1,-7,2,-4,17,-9,8
AngoulÍme,50,-4,-6,16,1,-1,0,-1,-6,4,-6,1
Colmar,51,4,-2,-7,-2,7,-7,-41,37,-4,6,2
Perpignan,52,2,9,10,-10,-7,0,10,2,-2,2,2
Saint-Nazaire,53,0,3,-20,-37,46,-4,29,-5,4,-4,0
Roanne,54,-2,1,17,-22,15,-21,1,7,4,-12,-4
Pau,55,0,9,18,-9,9,-5,-11,9,1,0,2
Maubeuge,56,4,4,11,-2,12,-12,-3,-2,-8,3,-2
Belfort,57,6,-1,-7,-10,3,-3,8,-6,10,-11,0
PÈrigueux,58,0,-3,-23,21,-27,4,22,-14,-13,12,-1
La Rochelle,59,2,6,-31,33,8,-5,-3,1,2,-1,0
Montauban,60,-5,-8,11,-10,15,-24,-1,-8,4,-7,12
Laval,61,-2,-7,-37,28,-2,-1,-19,14,-16,15,0
