Ceuta,78,78,76,69,56,49,37,29,26,70,60,-1,-18
Pozuelo de Alarcon,79,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Aviles,80,64,58,54,43,-1,-1,-1,-1,-1,-1,-1,-37
Sant Boi de Llobregat,81,70,67,61,-1,-1,-1,-1,-1,-1,-1,-1,-20
Pontevedra,82,76,72,71,70,-1,59,59,55,60,56,58,-24
Melilla,83,82,91,89,58,51,24,17,-1,-1,95,-1,12
Palencia,84,68,68,64,65,56,61,66,67,-1,-1,-1,-17
El Ejido,85,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
Torrente,86,83,92,93,80,75,-1,-1,-1,-1,-1,-1,-11
Chiclana de la Frontera,87,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
San Sebastian de los Reyes,88,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
Getxo,89,66,64,65,-1,-1,-1,-1,-1,-1,-1,-1,-24
Orihuela,90,-1,-1,-1,-1,61,56,50,43,32,28,35,-55
Gandia,91,95,-1,96,92,-1,-1,-1,-1,-1,-1,-1,1
Velez-Malaga,92,-1,-1,-1,-1,74,77,-1,60,68,55,50,-42
Manresa,93,85,77,66,62,53,65,60,52,55,74,53,-40
Ciudad Real,95,87,89,95,77,70,74,69,68,90,-1,-1,-5
Rubi,96,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5
Alcala de Guadaira,99,-1,99,98,99,54,99,-1,-1,-1,-1,-1,0
Ferrol,-1,71,61,55,44,43,27,28,47,47,46,42,43
Zamora,-1,84,81,78,72,62,68,72,72,96,85,90,6
Ponferrada,-1,88,85,87,-1,69,-1,-1,-1,-1,-1,-1,-19
El Prat de Llobregat,-1,90,82,76,-1,-1,-1,-1,-1,-1,-1,-1,-14
Sanlucar de Barrameda,-1,94,93,97,96,91,71,70,62,57,73,48,-46
La Linea de la Concepcion,-1,96,88,80,-1,-1,-1,-1,-1,-1,-1,-1,-16
Alcoy,-1,97,80,67,-1,-1,-1,-1,-1,-1,-1,-1,-30
Linares,-1,99,87,85,71,60,50,41,35,28,26,24,-75
Torrelavega,-1,-1,84,81,-1,-1,-1,-1,-1,-1,-1,-1,-3
Cerdanyola del Valles,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
Sagunt,-1,-1,94,84,-1,66,96,-1,-1,-1,-1,-1,2
Segovia,-1,-1,95,94,78,71,87,83,74,98,87,-1,-8
Elda,-1,-1,96,91,76,68,-1,-1,-1,-1,-1,-1,-28
Irun,-1,-1,98,90,81,76,-1,-1,-1,-1,-1,-1,-22
Granollers,-1,-1,-1,99,94,-1,-1,-1,-1,-1,-1,-1,-5
Palmas de Gran Canaria,-1,-1,-1,-1,7,7,10,10,15,17,17,21,14
Alacant,-1,-1,-1,-1,17,17,20,16,20,19,21,17,0
Iruna,-1,-1,-1,-1,24,24,30,24,34,41,39,31,7
Elx,-1,-1,-1,-1,30,30,42,43,-1,39,35,38,8
Logrono,-1,-1,-1,-1,42,41,53,44,49,61,59,75,33
Mieres,-1,-1,-1,-1,53,47,41,34,32,27,43,81,28
