,2010,2000,c1990,c1980,c1970,c1960,c1950,c1940,c1930,c1920,c1910,c1900,
Durham,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
St. Petersburg,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Irvine,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Laredo,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Lubbock,82,89,86,78,92,94,-1,-1,-1,-1,-1,-1,6
Madison,83,82,81,82,77,96,-1,-1,-1,-1,-1,-1,6
Gilbert,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Norfolk,85,72,61,54,46,40,47,59,60,53,65,60,0
Reno,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Winston–Salem,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Glendale,88,79,91,-1,-1,-1,-1,93,-1,-1,-1,-1,8
Hialeah,89,74,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
Garland,90,81,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
Scottsdale,91,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
Irving,92,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
Chesapeake,93,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
North Las Vegas,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Fremont,95,84,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
Baton Rouge,96,73,72,61,82,80,81,-1,-1,-1,-1,-1,5
Richmond,97,94,75,63,56,51,45,44,43,36,37,41,0
Boise,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
San Bernardino,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
Nashville-Davidson,-1,21,22,24,29,73,55,50,50,51,42,42,1
Honolulu CDP,-1,45,43,35,43,41,42,45,58,70,74,68,1
Saint Louis,-1,48,33,25,17,9,7,7,6,5,3,3,1
Lexington-Fayette,-1,63,69,67,-1,-1,-1,-1,-1,-1,97,89,7
Saint Petersburg,-1,67,64,57,60,68,-1,-1,-1,-1,-1,-1,7
Birmingham,-1,70,59,49,47,34,33,34,33,35,35,70,1
Rochester,-1,78,65,56,48,36,31,22,21,22,24,23,1
Akron,-1,80,70,58,51,43,38,37,34,31,64,64,1
Montgomery,-1,86,85,75,-1,89,94,99,99,-1,93,81,3
Shreveport,-1,87,76,66,68,76,80,84,92,-1,-1,-1,4
Augusta-Richmond County,-1,88,-1,-1,-1,-1,-1,-1,-1,95,87,67,8
Mobile,-1,91,78,70,67,61,78,98,98,85,77,69,1
Des Moines,-1,92,79,73,63,54,52,54,54,50,54,48,1
Grand Rapids,-1,93,82,74,64,70,54,52,45,46,41,39,1
Yonkers,-1,95,83,71,62,63,65,60,59,61,57,59,1
Spokane,-1,96,93,81,79,67,63,66,66,59,45,73,1
Tacoma,-1,98,94,97,88,83,66,76,72,62,55,72,1
Jackson,-1,-1,77,69,90,84,99,-1,-1,-1,-1,-1,7
Dayton,-1,-1,88,72,58,47,43,39,40,42,40,40,2
Huntington Beach,-1,-1,89,84,-1,-1,-1,-1,-1,-1,-1,-1,10
Little Rock,-1,-1,95,95,-1,-1,96,89,89,84,78,71,4
Knoxville,-1,-1,-1,76,75,-1,82,73,74,73,95,78,4
Syracuse,-1,-1,-1,86,65,52,46,40,39,37,33,28,3
Chattanooga,-1,-1,-1,87,-1,92,74,65,64,87,82,82,4
Salt Lake City,-1,-1,-1,89,73,64,51,56,56,52,50,54,3
Worcester,-1,-1,-1,90,72,65,49,43,41,34,32,27,3
Warren,-1,-1,-1,92,69,-1,-1,-1,-1,-1,-1,-1,10
