Plymouth,255826,Rotherham,247979,Bolton,262915,Bolton,260654,Walsall,273456,Stockport,255817,Wolverhampton,241133,Gateshead,231489,Gateshead,235995,Sefton,232201,Gateshead,220306,Tameside,190145
Rotherham,255342,Hull,243589,Rotherham,254925,Wolverhampton,254561,Wolverhampton,269236,Dudley,253108,Portsmouth,233797,Plymouth,227551,Plymouth,228933,Plymouth,227041,Sefton,211364,Dundee City,185503
Stoke-on-Trent,254438,Stoke-on-Trent,240636,Plymouth,254486,Stoke-on-Trent,252509,Stoke-on-Trent,265258,Bolton,251211,Dudley,230131,Calderdale,212945,Doncaster,216410,Calderdale,216689,Cardiff,209810,Gateshead,184791
Wolverhampton,244453,Plymouth,240475,Stoke-on-Trent,253010,Rotherham,251775,Bolton,259533,Walsall,245697,Plymouth,226678,Wolverhampton,207261,Calderdale,214023,South Tyneside,193951,Tameside,197117,Cardiff,183577
Derby,233708,Wolverhampton,235360,Wolverhampton,248590,Plymouth,245520,Rotherham,243110,Plymouth,230406,Stockport,223473,Dudley,205065,Barnsley,205944,Tameside,192904,Dundee City,188721,Sefton,182272
Swansea,230180,Derby,223140,Salford,230789,Salford,243865,Plymouth,239452,Rotherham,226869,Gateshead,222481,Barnsley,204071,Wolverhampton,200717,Barnsley,187885,Aberdeen,184028,Aberdeen,174146
Salford,229179,Barnsley,217672,Derby,225320,Barnsley,225084,Trafford,227899,Trafford,223977,Oldham,221055,Doncaster,203801,Dudley,199144,Dudley,185921,Barnsley,181556,Blackburn,172986
Barnsley,227213,Southampton,217109,Barnsley,224533,Trafford,221788,Barnsley,225514,Gateshead,223310,Barnsley,218385,Coventry,200597,Tameside,189536,Dundee City,182511,Blackburn,179457,South Tyneside,166791
Tameside,220722,Oldham,217020,Tameside,219766,Oldham,220017,Gateshead,224892,Barnsley,222693,Walsall,214899,Tameside,195640,South Tyneside,189193,Wolverhampton,179933,South Tyneside,178783,Dudley,163946
Oldham,220172,Tameside,213841,Oldham,219630,Tameside,217708,Oldham,223985,Oldham,215484,Calderdale,208122,Aberdeen,190042,Dundee City,188933,Aberdeen,178700,Motherwell,177544,Rochdale,162657
Trafford,218893,Salford,212945,Trafford,215801,Derby,216897,Tameside,220871,Portsmouth,215132,Rotherham,205364,Stockport,189837,Aberdeen,187326,Rochdale,175739,Rochdale,176354,Wolverhampton,159365
Aberdeen,217260,Aberdeen,212125,Aberdeen,215249,Gateshead,211333,Derby,219582,Derby,212720,Trafford,205312,Walsall,188509,Southampton,183741,Blackburn,170849,Dudley,174249,Walsall,148188
Southampton,214859,Trafford,208323,Southampton,206889,Rochdale,207430,Southampton,215127,Aberdeen,208054,Tameside,204480,Dundee City,187129,Derby,183663,Walsall,169593,Wolverhampton,168357,Derby,146728
Rochdale,207563,Milton Keynes,207057,Rochdale,204913,Renfrew,206179,Aberdeen,211960,North Tyneside,207896,Aberdeen,204101,South Tyneside,185957,Coventry,181420,Southampton,167991,Renfrew,163884,Barnsley,142296
Solihull,203922,Rochdale,205610,Gateshead,203109,Southampton,205337,North Tyneside,207940,Southampton,205081,Derby,196256,Derby,181771,Walsall,181035,Swansea,167178,Walsall,158817,Motherwell,141559
Gateshead,200968,Solihull,199123,Solihull,201319,Aberdeen,203927,Rochdale,203148,Tameside,204047,Southampton,190337,Rotherham,181684,Stockport,180746,Derby,165394,Stockport,158602,Renfrew,141421
Milton Keynes,197131,Renfrew,197062,Renfrew,200996,Solihull,199261,Renfrew,202901,Calderdale,200588,Dundee City,189943,Southampton,180690,Rotherham,178207,Stockport,165293,Rhondda,154175,Stockport,134045
North Tyneside,193619,Northampton,194093,North Tyneside,195482,North Tyneside,198209,Dundee City,197466,Dundee City,195523,North Tyneside,180641,Rochdale,174293,Rochdale,176691,Rhondda,163567,Derby,153509,Southampton,130054
Calderdale,192844,Calderdale,192729,Calderdale,194059,Calderdale,191122,Portsmouth,197440,Rochdale,189649,South Tyneside,174726,Swansea,171454,Swansea,174507,Rotherham,161481,Swansea,152290,Brighton,127079
Northampton,192382,North Tyneside,192144,Swansea,189743,St Helens,189759,Calderdale,195240,South Tyneside,185111,Swansea,172677,North Tyneside,166678,Blackburn,165323,North Tyneside,156611,Southampton,151834,Bury,126543
Portsmouth,190370,Gateshead,191141,Portsmouth,188605,Swansea,186589,Knowsley,194610,Renfrew,182538,Renfrew,172673,Trafford,163319,North Tyneside,162783,Coventry,155756,Rotherham,140043,Preston,125430
Warrington,189012,Warrington,190766,Warrington,185093,Portsmouth,180066,Solihull,191811,Swansea,179930,Rochdale,170449,Blackburn,161685,Renfrew,156612,Motherwell,155158,North Tyneside,139687,Swansea,122139
Norwich,186600,Portsmouth,186701,Northampton,184561,Dundee City,179674,Swansea,189824,St Helens,169518,St Helens,167310,Renfrew,161101,Trafford,155527,Renfrew,154018,St Helens,138291,St Helens,121751
Swindon,182400,Woodspring,185685,St Helens,180921,Bury,176112,St Helens,188762,Southend-on-Sea,165093,Brighton,158068,St Helens,155448,St Helens,152585,Doncaster,149596,Brighton,135395,Burnley,119338
Bury,181873,Luton,183443,Woodspring,179973,Knowsley,172957,South Tyneside,177000,Brighton,163159,Motherwell,154470,Motherwell,153568,Motherwell,151075,Brighton,148413,Bury,133422,Rhondda,115101
Luton,181468,Bury,180362,Milton Keynes,179231,Stockton-on-Tees,172443,Bury,174557,Motherwell,159976,Southend-on-Sea,151806,Brighton,151734,Brighton,148720,St Helens,146450,Preston,131727,Norwich,114392
Saint Helens,179483,Thamesdown,180019,Bury,179224,Warrington,169372,Warrington,163280,Knowsley,156607,Bury,151162,Bury,140348,Rhondda,142049,Preston,132241,Burnley,131578,Perth and Kinross,113026
Stockton-on-Tees,179009,Swansea,178523,Stockton-on-Tees,175249,Luton,164743,Southend-on-Sea,162770,Bournemouth,154207,Blackburn,148883,Rhondda,139051,Bury,137960,Bury,131923,Coventry,123736,North Tyneside,109842
York,175095,Stockton-on-Tees,178118,Luton,174613,Woodspring,163183,Stockton-on-Tees,161778,Blackpool,153385,Warrington,147972,Preston,138413,Preston,137647,Trafford,129118,Norwich,121908,Rotherham,106783
Southend-on-Sea,172266,St Helens,177775,Thamesdown,173029,South Tyneside,160410,Motherwell,161435,Bury,152112,Blackpool,147870,Southend-on-Sea,131827,Southend-on-Sea,129923,Blaenau Gwent,127611,Trafford,121408,Angus,100927
New Forest,169513,Basildon,173351,Dundee City,172510,Northampton,157217,Luton,161405,Middlesbrough,149937,Preston,145351,Warrington,127265,Norwich,127154,Burnley,125976,Blaenau Gwent,115363,Northampton,98425
Bath,164725,New Forest,169636,Basildon,163286,Southend-on-Sea,157083,Brighton,161351,Stockton-on-Tees,149267,Bournemouth,144435,Norwich,123560,Middlesbrough,120899,Norwich,121157,Perth and Kinross,114370,Inverclyde,97900
Wycombe,164045,Aylesbury Vale,165866,Southend-on-Sea,162725,Wycombe,155719,Middlesbrough,158905,Blackburn,143254,Middlesbrough,134429,Middlesbrough,121829,Warrington,120850,Inverclyde,119615,Doncaster,113280,Falkirk,96476
Basildon,163280,Bournemouth,163444,New Forest,161834,Basildon,152815,Bournemouth,153854,Preston,141763,Stockton-on-Tees,133527,Stockton-on-Tees,121523,Stockton-on-Tees,120426,Perth and Kinross,115078,Falkirk,110010,Trafford,95700
Huddersfield,163000,Dundee City,163170,Wycombe,159959,Thamesdown,152145,Blackpool,151909,Warrington,141573,Falkirk,125910,Blackpool,119249,Burnley,120134,Dunfermline,114196,Inverclyde,108534,Allerdale,94756
Bournemouth,160749,Wycombe,161228,Bournemouth,158612,Middlesbrough,150430,Langbaurgh,147571,Luton,140044,Kirkcaldy,125405,Bournemouth,118753,Bournemouth,116429,Southend-on-Sea,113753,Warrington,108229,Warrington,94352
Oxford,160000,Southend-on-Sea,160257,South Tyneside,157293,Langbaurgh,150215,Kirkcaldy,144955,Kirkcaldy,139617,Newport,122443,Kirkcaldy,117478,Falkirk,115623,Kirkcaldy,113609,Hamilton,106288,Hyndburn,93271
Peterborough,158674,West Lothian,158864,Knowsley,156804,Macclesfield,150086,Wycombe,142375,Solihull,136172,Norwich,122368,Falkirk,117096,Inverclyde,114115,Warrington,112972,Derwentside,105567,Banff and Buchan,90309
Chelmsford,156601,The Wrekin,158325,Peterborough,155110,Motherwell,150037,Blackburn,141142,Falkirk,132255,Perth and Kinross,119031,Burnley,116911,Kirkcaldy,113419,Thanet,111690,Kirkcaldy,104785,Hamilton,87354
Brighton,156124,Huntingdon,157323,Brighton,154175,Blackpool,148482,Woodspring,140932,Langbaurgh,130585,Dunfermline,118465,Inverclyde,115821,Newport,111812,Derwentside,111175,Pendle,104494,Pendle,87306
South Tyneside,156078,Colchester,157296,Chelmsford,154124,Brighton,147336,Falkirk,140501,Newport,128449,Northampton,115453,Perth and Kinross,115124,Perth and Kinross,111264,Stockton-on-Tees,110616,Northampton,101508,York,86602
Poole,154700,Harrogate,157110,Macclesfield,151492,New Forest,146134,Macclesfield,139878,Northampton,123320,Reading,113975,Newport,113712,Blaenau Gwent,110273,Middlesbrough,110160,Hyndburn,100327,Hartlepool,86433
Colchester,154176,Chelmsford,157072,Blackpool,149884,Bournemouth,145704,Thamesdown,139352,Norwich,120953,Inverclyde,113734,Blaenau Gwent,112144,Derwentside,110093,Cunninghame,110073,Middlesbrough,99101,Middlesbrough,85635
