rank,2011,rank,2001,rank,1991,rank,1981,rank,1971,rank,1961,rank,1951,rank,1941,rank,1931,rank,1921,rank,1911,rank,1901
52,179483,52,180700,52,177100,52,134600,52,129900,52,114300,52,104400,52,95900,52,92300,52,90800,52,82300,52,77300
53,179009,53,180100,53,176800,53,129700,53,126300,53,113300,53,101400,53,95100,53,90300,53,90800,53,81700,53,76400
54,175095,54,176800,54,172300,54,127300,54,125000,54,109500,54,98700,54,94200,54,89200,54,89400,54,81200,54,72200
55,172266,55,175130,55,164700,55,127000,55,122700,55,108700,55,98400,55,94100,55,87500,55,84800,55,81000,55,70400
56,169513,56,173800,56,162000,56,123100,56,120700,56,108100,56,97700,56,92700,56,86400,56,84000,56,80500,56,70000
57,164725,57,173700,57,161100,57,122800,57,111800,57,106300,57,94400,57,92300,57,85400,57,82400,57,78700,57,69200
58,164045,58,170200,58,161000,58,122400,58,110600,58,106200,58,93700,58,91300,58,84800,58,82100,58,78500,58,68100
59,163280,59,169500,59,160500,59,115900,59,108800,59,105400,59,88400,59,90800,59,84400,59,81100,59,75200,59,67300
60,163000,60,167700,60,159900,60,114400,60,107500,60,104400,60,88000,60,88700,60,81300,60,80100,60,75100,60,66600
61,160749,61,165900,61,155500,61,113800,61,106600,61,103300,61,85000,61,88500,61,80500,61,79400,61,75000,61,65500
62,160000,62,162100,62,154700,62,113400,62,105500,62,103200,62,84900,62,82700,62,79300,62,76800,62,74600,62,65200
63,158674,63,160400,63,152400,63,109600,63,105200,63,100300,63,84600,63,82500,63,78900,63,76600,63,73900,63,64200
64,156601,64,156000,64,152100,64,109500,64,104100,64,96700,64,84000,64,81700,64,78900,64,76500,64,72200,64,63100
65,156124,65,156000,65,151600,65,107100,65,101100,65,96100,65,83000,65,78600,65,76800,65,75100,65,70700,65,61600
66,156078,66,155900,66,151200,66,106500,66,100200,66,96000,66,82300,66,78200,66,72100,66,74200,66,69900,66,60800
67,154700,67,152800,67,150160,67,106300,67,99600,67,96000,67,82100,67,78100,67,71500,67,69700,67,69600,67,59800
68,154176,68,150460,68,144500,68,102600,68,97500,68,95800,68,82100,68,77800,68,71100,68,68900,68,68600,68,58600
69,154053,69,150000,69,142900,69,99100,69,97100,69,95500,69,81500,69,76400,69,69700,69,68700,69,68300,69,58000
70,152604,70,148300,70,140000,70,97300,70,96800,70,92100,70,80700,70,76000,70,68800,70,68600,70,66800,70,57600
71,152459,71,147300,71,139200,71,96500,71,95600,71,91700,71,79300,71,75900,71,68500,71,68000,71,63900,71,57100
72,150250,72,146700,72,134800,72,94800,72,95300,72,86300,72,76300,72,74100,72,68100,72,67300,72,63800,72,54300
73,146778,73,144800,73,132300,73,93900,73,94700,73,85800,73,75600,73,72600,73,67700,73,66500,73,62700,73,54300
74,145800,74,143100,74,132000,74,92700,74,93800,74,85500,74,75500,74,71600,74,66800,74,66000,74,62500,74,53600
75,145000,75,142400,75,130150,75,92500,75,91500,75,84200,75,75000,75,71500,75,66200,75,65800,75,61100,75,52900
76,143000,76,138200,76,129900,76,91700,76,91000,76,82800,76,74200,76,70600,76,66200,76,64100,76,58800,76,51500
77,142851,77,136900,77,126100,77,91500,77,90700,77,82000,77,73100,77,69200,77,66000,77,63800,77,58600,77,51400
78,137000,78,136600,78,122000,78,91400,78,90000,78,81300,78,72700,78,68900,78,65200,78,62000,78,58500,78,51300
79,136300,79,127800,79,120900,79,91100,79,89000,79,80900,79,70700,79,68400,79,64900,79,61200,79,58400,79,50900
80,128000,80,127300,80,119700,80,90700,80,88500,80,80800,80,70000,80,68400,80,64700,80,60700,80,57300,80,50400
81,122700,81,123600,81,108000,81,88700,81,88200,81,80600,81,69500,81,68300,81,64200,81,59600,81,55900,81,49800
82,120700,82,120600,82,103100,82,88600,82,87800,82,80300,82,69400,82,67300,82,63300,82,59300,82,55600,82,49400
83,117900,83,116800,83,101600,83,88200,83,87700,83,78700,83,69400,83,66900,83,62400,83,57100,83,53400,83,49300
84,116600,84,110300,84,101000,84,87600,84,85900,84,77100,84,68900,84,66500,84,61500,84,56800,84,53400,84,48800
85,116400,85,108700,85,101000,85,87500,85,85600,85,77000,85,68600,85,65700,85,59600,85,56400,85,53000,85,48700
86,113140,86,107900,86,99400,86,87200,86,84900,86,76000,86,68200,86,64700,86,57400,86,55900,86,52500,86,48100
87,111770,87,107400,87,99300,87,87100,87,84500,87,75600,87,68200,87,64300,87,57300,87,55000,87,52300,87,48000
88,109800,88,107200,88,98100,88,86700,88,83600,88,74700,88,68000,88,63400,88,57200,88,54400,88,51500,88,47300
89,107800,89,105130,89,96400,89,86700,89,81100,89,74600,89,67900,89,63100,89,56800,89,54200,89,50800,89,47200
90,107300,90,104700,90,96200,90,86500,90,81100,90,73000,90,67500,90,62300,90,56800,90,54000,90,50800,90,46600
91,106000,91,101900,91,96000,91,86100,91,78900,91,72900,91,67300,91,61600,91,56200,91,53700,91,50700,91,45500
92,100200,92,96400,92,95000,92,85500,92,78000,92,72800,92,66600,92,61500,92,55000,92,52700,92,50600,92,45000
93,99200,93,93900,93,92000,93,84300,93,77900,93,72200,93,66600,93,60600,93,54300,93,51300,93,50000,93,44500
94,97200,94,93600,94,91900,94,84300,94,77300,94,72200,94,66200,94,60200,94,52900,94,48900,94,50000,94,43900
95,97000,95,90900,95,91100,95,81400,95,76700,95,71100,95,65500,95,59900,95,51600,95,48800,95,48900,95,43400
96,93200,96,87500,96,89500,96,80200,96,76300,96,70100,96,62800,96,59700,96,50500,96,48400,96,48700,96,43300
97,92000,97,86400,97,87700,97,80100,97,76100,97,69800,97,62500,97,59400,97,49500,97,46500,97,48500,97,43100
98,88243,98,86000,98,87600,98,80100,98,75500,98,67500,98,61900,98,59100,98,49400,98,45300,98,48300,98,42500
99,88134,99,85100,99,86800,99,80000,99,75000,99,66500,99,61100,99,58800,99,48700,99,44700,99,48000,99,42100
100,87590,100,84500,100,84200,100,79200,100,74300,100,65900,100,59700,100,56500,100,46200,100,43500,100,46000,100,41800
