la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
South Lakeland,77263,75766,81096,77148,80032,81851,82808,91309,98305,99094,102301
South Norfolk,57675,57551,55527,56358,58281,62958,64690,80706,93194,104217,104958
South Northamptonshire,33166,33065,32024,31091,33511,37418,41593,55749,64295,71099,79293
South Oxfordshire,47659,51275,53745,58572,65898,85376,101023,133624,129624,134778,149134
South Pembrokeshire,38738,38273,38793,33320,35320,33847,34503,37838,39414,42304,42625
South Ribble,30145,34002,36602,42362,44921,55799,68220,86162,97464,103277,102277
South Shropshire,36419,36132,35863,34718,34883,34068,32594,32391,33790,38644,40697
South Staffordshire,22874,25501,28568,32524,34794,43290,62101,82794,96890,106463,107423
South Tyneside,166791,178783,193951,189193,185957,174726,185111,177000,160410,157293,152785
South Wight,32857,35069,40615,35096,37881,37932,39436,45089,50675,54476,56911
Southampton,130054,151834,167991,183741,180690,190337,205081,215127,205337,206889,217109
Southend-on-Sea,38108,77288,113753,129923,131827,151806,165093,162770,157083,162725,160257
Southwark,596238,579100,571305,534586,481176,337638,313413,262138,211858,227275,244097
Spelthorne,21636,23892,26819,34609,41621,63436,83263,96902,93198,91215,91579
St Albans,32779,42898,46696,55993,63105,86626,107105,121204,125124,126828,129005
St Edmundsbury,49686,49859,45708,44971,47258,51094,55606,71353,86410,92790,98193
St Helens,121751,138291,146450,152585,155448,167310,169518,188762,189759,180921,177775
Stafford,52711,56881,61085,61936,68959,83856,92911,111154,118509,119876,120418
Staffordshire Moorlands,49864,54239,57004,61403,64190,74163,78046,90183,96110,96203,94741
Stevenage,4199,5268,5438,5911,6188,7215,43014,67084,74523,75702,75362
Stewartry,31437,30594,25166,24558,24846,24813,23299,22208,23214,23543,23832
Stirling,56306,62475,64974,63650,65884,69028,70432,76433,81175,81440,86695
Stockport,134045,158602,165293,180746,189837,223473,255817,292271,290422,288552,283655
Stockton-on-Tees,84236,97435,110616,120426,121523,133527,149267,161778,172443,175249,178118
Stoke-on-Trent,242761,266342,273624,283131,278874,279867,277251,265258,252509,253010,240636
Stratford-on-Avon,54414,55853,55699,57659,61738,71857,80972,94523,101148,106038,111419
Strathkelvin,43439,50896,41176,43491,45783,52681,59241,77302,87161,86555,82390
Stroud,57569,58264,59553,58910,64310,74466,80125,90445,102021,112077,119613
Suffolk Coastal,60706,66150,68586,68279,70475,74561,82960,89123,95532,114370,114728
Sunderland,233264,260309,277479,282673,279120,277207,289181,293797,294894,296438,279889
Surrey Heath,14843,22083,23409,27434,28462,34542,44720,66045,76842,80092,81686
Sutherland,18818,17844,15467,14230,14035,12407,12290,11971,14241,13181,13082
Sutton,37277,55118,60308,103332,113264,176151,169095,169494,169343,171450,179344
Swale,72796,73398,77812,75953,78686,82293,84345,100897,109647,116947,122801
Swansea,122139,152290,167178,174507,171454,172677,179930,189824,186589,189743,178523
Taff-Ely,49112,67394,79890,76036,76597,73866,72550,84624,93292,98523,102239
Tameside,190145,197117,192904,189536,195640,204480,204047,220871,217708,219766,213841
Tamworth,16675,19082,20720,20257,21386,23180,25429,40285,64546,71037,74531
Tandridge,30297,37159,40159,47462,50621,64243,75212,79792,76235,77420,80917
Taunton Deane,54260,56018,55077,56970,60534,69555,73169,81986,86431,95820,102299
Teesdale,29433,31412,32414,27479,29332,28103,26385,24644,24461,24456,29123
Teignbridge,57420,59837,62375,65374,67907,75971,79744,90016,96287,110034,120765
Tendring,45181,53600,63141,62165,66943,75522,80381,102413,114361,127017,137039
Test Valley,31973,39346,37437,43056,46215,58151,61539,79902,91407,104020,111771
Tewkesbury,29790,31438,30485,30798,36301,47620,59066,73818,81335,88677,96590
Thamesdown,59319,65925,70780,77883,79744,90570,119451,139352,152145,173029,180019
Thanet,68475,78507,111690,91798,100482,97958,104110,114870,121720,126998,126702
The Wrekin,55242,56758,55067,55336,59609,68424,74708,97238,123835,141958,158325
Three Rivers,15679,18450,19853,25596,34856,59120,77153,80907,77938,76763,87882
Thurrock,32427,39199,48380,61168,63612,81287,113120,123837,127105,129648,143128
Tonbridge and Malling,45789,48222,50059,51221,54221,61384,69306,93385,96848,102591,103470
Torbay,51334,59270,63147,74034,75164,88311,96293,109257,116200,122880,129706
Torfaen,52941,67754,73645,70635,71345,69756,81035,88423,90214,91447,84315
Torridge,42821,42803,41809,39989,40967,41103,40504,44693,47568,53219,58686
Tower Hamlets,597061,570391,529724,488576,416363,230790,205682,165776,142841,168215,188140
Trafford,95700,121408,129118,155527,163319,205312,223977,227899,221788,215801,208323
Tunbridge Wells,65745,69336,68315,69436,71754,77512,82140,93406,96509,102500,104030
Tweeddale,15196,15283,15495,15192,15335,15317,14166,13681,14512,15270,17394
Tynedale,50230,53309,58576,53813,55182,53158,52063,53144,54976,57365,58808
Uttlesford,37996,38982,36885,36933,38799,42579,45730,54493,61766,66155,69145
Vale of Glamorgan,48855,58495,67373,70787,73959,83718,90005,102623,110517,115156,116523
Vale of White Horse,37708,39523,39978,41380,47867,62244,76875,93325,101825,112908,115668
Vale Royal,61381,65049,66547,69926,73136,82934,88326,105909,111812,115100,120945
Wakefield,192892,233650,249602,271425,266166,277471,285841,302357,311780,316434,312870
Walsall,148188,158817,169593,181035,188509,214899,245697,273456,267042,263470,254061
Waltham Forest,198375,257461,267582,283416,275489,275468,248591,234680,215947,217789,210788
Wandsworth,321935,373203,384673,392660,369405,330883,335451,302258,254898,265453,266031
Wansbeck,38201,56930,65758,66110,66471,67544,66555,64455,62475,61618,60963
Wansdyke,34037,38950,39008,39173,43083,51069,60151,70980,76733,80832,88443
Warrington,94352,108229,112972,120850,127265,147972,141573,163280,169372,185093,190766
Warwick,54772,56771,61479,65135,69483,81834,97296,111586,114595,118367,125931
Watford,30784,42723,48217,58527,59945,73092,75569,78410,74462,75510,73026
Waveney,65328,71628,78387,74164,75723,74617,77825,90680,99472,108241,112342
Waverley,47615,54575,58576,63861,68170,82073,89749,104108,109486,116313,115378
Wealden,55595,62238,65481,67345,71018,80227,86400,108309,117404,132077,134281
Wear Valley,83749,91823,94786,84292,85122,76289,71967,65439,64184,63349,52764
Wellingborough,35663,36108,36742,38030,38632,41125,44121,55991,64199,68629,72519
Welwyn Hatfield,10195,11631,11911,23653,27541,47059,81757,93939,93322,94881,97553
West Derbyshire,57252,60839,60312,61486,61514,62745,62596,65073,66783,68418,69469
West Devon,36892,37513,36985,36782,37493,38712,37455,39324,43395,46111,49122
West Dorset,60938,62725,61076,61064,63074,67083,68269,74052,78849,87053,92699
West Lancashire,36760,39586,40366,41282,44576,52081,61000,91428,107271,109488,108571
West Lindsey,54804,57744,55978,54638,57488,61848,62281,70560,76105,76689,79408
West Lothian,67206,79649,77946,74525,78242,82254,85799,111843,138359,146233,158864
West Oxfordshire,40728,41780,39191,40149,42680,48699,55764,75036,81087,92014,95640
West Somerset,22212,23402,24881,26125,26440,28313,28768,29753,32423,32171,35075
West Wiltshire,48960,50584,51927,51685,56694,66470,70997,86808,99528,108881,118150
Western Isles Islands,47647,47606,44177,38986,39585,35591,32609,29891,31884,29505,26502
Westminster,460247,420934,390263,372184,354260,300332,271703,239748,191098,189086,189173
Weymouth and Portland,39845,44432,41972,41156,43731,48066,52525,54663,57547,62230,63309
Wigan,256518,278897,283321,273744,278251,277688,271633,302963,309083,311030,305213
Wigtown,36307,35539,33368,31889,33169,34251,31757,29922,30241,29968,29521
Wimborne,18548,20291,20698,22823,24127,28860,35975,51381,68461,79067,83786
Winchester,45160,50414,53393,54469,57560,64817,73186,85734,90827,98863,107489
Windsor and Maidenhead,57869,61748,67316,69204,73186,83037,107375,124054,131284,134500,117148
Wirral,196885,252339,290077,309008,312489,338382,351724,355602,339494,336228,312293
Woking,21368,28969,31548,35809,38333,47643,67507,75956,81773,87129,89840
Wokingham,18038,21045,23063,27530,31699,44505,63223,99670,115103,142210,150229
Wolverhampton,159365,168357,179933,200717,207261,241133,260422,269236,254561,248590,235360
Woodspring,56119,61047,72109,73305,79550,93237,109069,140932,163183,179973,185685
Worcester,51066,52569,51819,53704,55962,62364,66240,73807,74990,83555,91595
Worthing,24298,32216,37094,46499,50983,69357,80348,88401,92056,98062,97568
Wrexham Maelor,76754,85782,88968,89494,92471,98950,101306,105767,112339,116921,120033
Wychavon,46326,49787,52173,52057,56117,64120,69613,82002,95381,103293,114410
Wycombe,45306,49591,53670,62685,67794,87026,109424,142375,155719,159959,161228
Wyre,31128,37405,42866,52757,53871,65990,78007,94851,98125,103027,105618
Wyre Forest,45921,45985,45836,49285,52993,63857,70406,85061,91703,95841,96981
Yeovil,82119,84965,83164,86351,89780,99824,104503,114332,131419,143633,150969
Ynys Mon-Isle of Anglesey,50478,50804,51612,48934,50381,50596,51654,59765,67220,69486,66829
York,86602,91758,91185,96431,99046,109523,108511,104799,99910,104542,103127
