la,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001
Chichester,46563,50625,51636,56860,60365,72600,78578,91200,98035,102653,106450
Chiltern,21744,27527,32168,39311,41606,53338,71739,88917,92320,92298,92060
Chorley,56840,62429,62768,62825,64297,67297,67207,77808,91203,96985,102039
Christchurch,7317,8835,9781,12710,14908,22232,28680,34291,37986,41391,44560
City of London,26882,19619,14158,11054,10179,5324,4767,4245,5864,4130,14471
Clackmannan,32608,32103,32895,32258,34364,37939,41932,46093,47855,48426,47435
Cleethorpes,16217,28506,36434,38611,38795,41341,49249,66768,68724,69884,70405
Clydebank,30199,46459,55465,55984,54706,52669,57867,58805,52024,46241,44801
Colchester,60553,66642,65825,72949,74758,85500,93810,118156,134385,145933,157296
Colwyn,23643,27761,34835,34417,35787,38110,38676,45189,48936,56577,56793
Congleton,37991,39518,40616,42684,44625,50575,55346,70902,79161,85429,90655
Copeland,68689,68254,70271,64746,67580,67724,73519,71794,73140,72176,69318
Corby,5072,5477,5499,5596,10850,21454,40466,52694,52515,53588,53174
Cotswold,51788,53393,50429,49935,54724,63808,61235,62680,68712,74479,79886
Coventry,83217,123736,155756,181420,200597,264616,316024,336387,313815,305356,298037
Craven,44169,45895,45966,45616,45872,46034,44939,46469,47537,50853,53429
Crawley,3598,3780,8238,8875,9427,11167,54722,68647,73376,71605,72700
Crewe and Nantwich,74502,79138,80125,80995,83418,89135,91295,97100,98555,105382,111007
Croydon,143840,188690,212919,270627,264660,310433,323927,333870,317980,319307,339507
Cumbernauld and Kilsyth,14988,15292,15277,15433,15845,16826,18663,45632,62031,63411,64679
Cumnock and Doon Valley,41592,41463,41725,40760,43051,46668,52832,48779,45260,43015,37219
Cunninghame,84371,85507,110073,92366,102879,106199,111259,125878,138707,138633,136734
Cynon Valley,78491,97827,102752,91354,90098,76187,72561,69427,67197,65889,71277
Dacorum,33268,36775,37953,42380,46273,58487,96821,119182,129151,134254,137125
Darlington,50736,62715,70530,75706,78530,89355,93450,98150,98195,99943,97838
Dartford,36557,42780,47220,51074,54695,65792,78334,83333,78345,78002,82799
Daventry,31602,31821,32016,31818,33302,36072,37354,48091,57692,63081,72203
Delyn,35521,38191,39885,42829,44666,51283,50756,56881,65030,68387,68462
Derby,146728,153509,165394,183663,181771,196256,212720,219582,216897,225320,223140
Derwentside,82386,105567,111175,110093,108035,102837,99889,92220,88517,87066,85074
Dinefwr,33280,42625,45065,45110,43872,41440,38825,36195,36747,38540,39913
Doncaster,81110,113280,149596,216410,203801,245396,267872,281035,289532,293403,287146
Dover,80532,85141,84721,91150,89432,92426,93962,98969,100987,104904,104566
Dudley,163946,174249,185921,199144,205065,230131,253108,294029,299741,309577,305102
Dumbarton,57884,61385,65557,60260,63936,65990,70477,78806,78648,79317,75995
Dundee City,185503,188721,182511,188933,187129,189943,195523,197466,179674,172510,163170
Dunfermline,76033,98569,114196,102190,111617,118465,120003,120530,122898,129957,128304
Durham,66697,76515,77387,73698,74542,72542,75439,81752,85639,87874,92761
Dwyfor,31476,30842,30711,29123,29644,29099,27478,25902,26315,27164,27319
Ealing,94985,164694,181545,225673,239303,310690,301646,301108,279846,281727,297799
Easington,50318,74843,91141,105780,101423,107347,110237,108234,101075,99042,93692
East Cambridgeshire,39243,40774,38964,40532,41474,44925,45124,49109,53864,61259,73214
East Devon,57947,62248,63815,68102,70468,79487,84226,97215,106885,118143,126531
East Hampshire,31154,42179,40470,46021,48491,58981,63018,79493,90613,104266,109274
East Hertfordshire,49338,53470,53999,55642,59156,67826,79901,102219,107386,118520,133073
East Kilbride,25325,30611,24450,22935,20510,14145,40899,74159,82949,84209,87560
East Lindsey,75471,78076,83401,81173,85711,92559,90566,94698,105243,118106,130447
East Lothian,53300,62252,67232,66773,68936,72802,74431,77406,80666,84815,90174
East Northamptonshire,44796,47151,46369,45680,47537,50561,51720,56739,61194,68771,76550
East Staffordshire,75722,74038,74696,74871,76961,81315,86857,94423,95260,98547,103131
East Yorkshire,48273,50039,58218,54152,58452,62986,63563,65503,75145,85251,92102
Eastbourne,44449,53620,63126,58644,59864,57821,60918,70921,77963,85225,95409
Eastleigh,23111,30917,32473,38161,40689,51432,61213,78570,92954,106986,116238
Eastwood,19997,26787,12673,17225,22691,38175,43825,49857,53572,60534,63114
Eden,46064,44661,43891,44156,43975,43877,42446,41971,44191,45962,49777
Edinburgh City,406368,415380,432045,449943,453443,478340,484250,476629,436936,438766,449109
Ellesmere Port and Neston,11461,18658,23628,31134,32517,42788,56582,78419,82309,81599,81672
Elmbridge,34386,42349,49029,57900,65539,89689,106211,115552,111616,114627,122287
Enfield,104589,154709,167047,201528,218896,288112,273857,268004,258770,263167,272203
Epping Forest,34812,37444,37452,43322,54484,82679,104367,114099,116550,117107,132031
Epsom and Ewell,14513,23866,22808,35053,41988,68102,71147,72305,69568,67866,67059
Erewash,47733,64190,65887,69687,74275,87252,92722,99682,102112,106549,105229
Ettrick and Lauderdale,37770,38643,35730,35314,35149,34403,33509,32429,31725,34330,34892
Exeter,60881,65894,65874,72719,73492,81884,88598,95729,96516,105581,109536
Falkirk,96476,110010,109754,115623,117096,125910,132255,140501,144361,142652,145090
Fareham,14054,16466,18926,22047,27915,42772,58363,80412,88609,99718,107977
Fenland,45401,50394,53911,56211,57373,61998,62790,64682,67701,76840,84169
Forest Heath,23353,23296,22328,22160,24500,29012,31818,39589,51978,59704,55510
Forest of Dean,54247,55335,57896,57483,58944,61452,62770,65888,72847,75863,80218
Fylde,24469,30659,39440,39935,44476,54054,58578,67049,68904,72311,73217
Gateshead,184791,220306,235991,235995,231489,222481,223310,224892,211333,203109,191141
Gedling,29631,38465,42960,51139,54100,68200,80568,96275,104280,107643,111131
Gillingham,46496,56214,58289,61583,63516,70676,72910,86862,93734,96228,98936
Glanford,26591,31912,39295,41050,41425,43931,46316,57517,66368,72216,74164
Glasgow City,940087,976418,1123563,1166779,1154965,1174552,1139970,982203,765915,688043,633561
Gloucester,57668,60613,60857,63292,66195,74437,82874,90046,92385,97255,97272
Glyndwr,37006,37760,37936,37457,38214,39250,38087,37819,40358,42320,44727
