Sondrio,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,-2,1,-2
Capannori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6,50,2,25
San Pier d'Arena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19,-9,-19,2,-9.5
Bitonto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,-2,-14,2,-7
Piazza Armerina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,1,-1
Trani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,11,11,2,5.5
Canicatti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,-15,1,-15
Adrano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,2,0.5
Cortona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,10,10,2,5
Monte San Giuliano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,NA,-13,1,-13
Enna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,6,6,2,3
Cascina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
