,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,,,
Los Mochis,NA,NA,NA,23,-6,-4,23,-2,-10,4,0,3,23,9,2.555555556
Navojoa,NA,NA,NA,-16,-10,-15,33,-11,7,-15,-1,3,33,9,3.666666667
Moroleon,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,8,1,8
Reynosa,NA,NA,NA,-2,-15,47,18,1,-4,-1,2,2,47,9,5.222222222
Ciudad Mante,NA,NA,NA,-54,-18,NA,13,21,NA,NA,NA,NA,-54,4,-13.5
Ciudad Camargo,NA,NA,NA,-23,NA,13,NA,NA,NA,NA,NA,NA,-23,2,-11.5
Ciudad Valles,NA,NA,NA,-14,NA,NA,8,10,0,NA,NA,NA,-14,4,-3.5
Ciudad Delicias,NA,NA,NA,-24,NA,NA,44,-12,NA,NA,NA,-18,44,4,11
Ciudad Acuna,NA,NA,NA,-15,NA,NA,5,-7,NA,-4,NA,23,23,5,4.6
Agua Prieta,NA,NA,NA,-20,NA,NA,NA,NA,NA,NA,NA,NA,-20,1,-20
Puerto Vallarta,NA,NA,NA,-2,NA,NA,NA,15,NA,22,10,10,22,5,4.4
Minatitlan,NA,NA,NA,NA,-3,-26,15,6,8,8,-9,0,-26,8,-3.25
Tijuana,NA,NA,NA,NA,-7,34,6,3,-3,3,2,0,34,8,4.25
Coatepec,NA,NA,NA,NA,-74,NA,NA,-9,NA,NA,NA,NA,-74,2,-37
Moroleon - Uriangato,NA,NA,NA,NA,2,NA,NA,NA,NA,7,-3,-4,7,4,1.75
Cortazar,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA,NA,NA,-5,1,-5
Tepatitlan de Morelos,NA,NA,NA,NA,-1,NA,NA,NA,NA,-6,4,0,-6,4,-1.5
Jerez,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1
Delicias,NA,NA,NA,NA,NA,62,NA,NA,NA,-34,-1,-1,62,4,15.5
Tamazunchale,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,30,1,30
Santiago Ixcuintla,NA,NA,NA,NA,NA,-1,NA,NA,-38,NA,NA,NA,-38,2,-19
Yuriria,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,37,1,37
