,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Matsuyama,26.0,517231.0,23.0,473462.0,26.0,443386.0,27.0,401792.0,27.0,322969.0,30.0,238672.0,28.0,174564.0,29.0,117596.0,30.0,82543.0,35.0,51370.0,33.0,45272.0,29.0,37885.0
Utsunomiya,27.0,511739.0,28.0,443843.0,30.0,426816.0,31.0,377756.0,29.0,301262.0,29.0,239067.0,32.0,157350.0,42.0,87965.0,32.0,81413.0,26.0,63884.0,26.0,54017.0,36.0,36030.0
Higashiōsaka,28.0,509533.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Matsudo,29.0,484457.0,24.0,464886.0,22.0,456212.0,28.0,400927.0,42.0,253627.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Nishinomiya,30.0,482640.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kurashiki,31.0,475513.0,31.0,430316.0,31.0,414725.0,26.0,403899.0,24.0,339854.0,26.0,252396.0,26.0,199253.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ōita,32.0,474094.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Ichikawa,33.0,473919.0,27.0,448665.0,29.0,436683.0,32.0,364211.0,38.0,261139.0,56.0,157356.0,59.0,102587.0,72.0,58149.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kanazawa,34.0,462361.0,26.0,456413.0,27.0,442973.0,24.0,417743.0,23.0,361449.0,20.0,299051.0,14.0,261557.0,19.0,186307.0,15.0,157353.0,11.0,129335.0,10.0,129898.0,11.0,99767.0
Fukuyama,35.0,461357.0,35.0,378838.0,34.0,365694.0,35.0,346002.0,41.0,255107.0,65.0,140650.0,-1.0,0.0,74.0,56753.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Amagasaki,36.0,453748.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Nagasaki,37.0,443766.0,32.0,423270.0,25.0,444690.0,21.0,447171.0,16.0,421112.0,14.0,344222.0,16.0,241841.0,12.0,252693.0,10.0,204694.0,9.0,176545.0,9.0,161236.0,7.0,153352.0
Machida,38.0,427016.0,36.0,377597.0,38.0,349126.0,47.0,295496.0,61.0,202830.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Toyama,39.0,421953.0,50.0,325791.0,44.0,321365.0,41.0,305197.0,36.0,269362.0,35.0,207332.0,35.0,154572.0,26.0,127937.0,36.0,75121.0,29.0,61811.0,21.0,64857.0,21.0,56351.0
Toyota,40.0,421487.0,42.0,351130.0,42.0,332351.0,51.0,281646.0,63.0,197294.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
