,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1950,city.7,1940,city.8,1931,city.9,1921,city.10,1911,city.11,1900
York,46,175095,70,136674,77,101076,52,123187,57,105264,54,104423,45,105489,43,100830,51,84850,49,84892,45,82335,44,77971
Southend-on-Sea,47,172266,55,160496,47,172332,41,155706,40,162423,31,165148,26,151821,30,138142,34,120132,37,110172,66,62702,-1,0
New Forest,48,169513,51,169549,52,160546,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Bath,49,164725,50,170282,48,164716,86,84357,78,85661,72,80956,64,79303,74,68351,63,68824,62,68907,84,50733,73,49822
Wycombe,50,164045,54,162103,49,162042,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Basildon,51,163280,53,165955,50,161166,65,94852,47,129980,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Huddersfield,52,163038,63,147364,71,122060,45,147846,46,130695,41,130730,33,129010,32,125636,38,113594,36,117495,33,107834,34,95002
Bournemouth,53,160749,52,167785,54,155592,47,142867,43,149056,34,154305,29,144722,36,122125,36,116856,45,92362,50,78752,60,59837
Oxford,54,160012,67,142492,65,134843,57,113898,53,110683,51,106311,49,98746,50,94109,54,80580,65,68078,77,53013,75,49393
Peterborough,55,158674,56,156098,53,159941,58,113475,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Chelmsford,56,156601,57,156099,56,152494,72,91165,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Brighton,57,156124,58,155906,67,132063,48,134693,38,163953,32,163225,25,156513,25,146583,26,147410,26,142460,23,131236,21,123529
South Tyneside,58,156078,59,152889,55,154789,39,160146,35,177159,28,184848,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Poole,59,154745,65,144832,64,139241,53,122899,56,106643,64,92194,58,83100,71,68950,82,57234,99,43708,-1,0,-1,0
Colchester,60,154176,81,105130,84,96076,77,87502,87,76729,90,67508,97,57427,-1,0,-1,0,-1,0,99,43598,-1,0
Knowsley,61,154053,60,150460,57,152147,33,173079,30,194189,36,151448,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Macclesfield,62,152604,61,150089,58,151681,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Blackpool,63,152459,62,148335,59,151259,46,146338,42,149894,35,153268,28,147278,31,125810,41,101674,40,102629,71,58427,80,47358
