,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
San Juan del Rio,26.0,21318.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,52.0,31249.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,61652.0,83.0,99483.0,-1.0,0.0
Colima - Villa de Alvarez,27.0,20745.0,21.0,25131.0,19.0,28363.0,29.0,21133.0,35.0,22659.0,64.0,28738.0,40.0,44984.0,56.0,61085.0,75.0,100733.0,44.0,247610.0,40.0,352356.0,47.0,334240.0
Xalapa,28.0,20424.0,22.0,23698.0,21.0,27688.0,19.0,36844.0,18.0,39580.0,23.0,51223.0,30.0,66305.0,26.0,122407.0,23.0,322154.0,23.0,461108.0,24.0,591053.0,26.0,711139.0
Irapuato,29.0,19649.0,25.0,21579.0,24.0,20737.0,24.0,29366.0,21.0,32482.0,25.0,49449.0,22.0,83597.0,29.0,116789.0,33.0,246308.0,31.0,362471.0,31.0,440134.0,31.0,529440.0
Zapotlanejo,30.0,18881.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,24019.0,-1.0,0.0,101.0,31819.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mazatlan,31.0,17998.0,26.0,21288.0,22.0,25367.0,23.0,29411.0,22.0,32117.0,34.0,41830.0,24.0,74988.0,28.0,119606.0,32.0,249988.0,33.0,314345.0,36.0,380509.0,37.0,438434.0
Ciudad Guzman,32.0,17649.0,30.0,17175.0,30.0,16900.0,33.0,19354.0,36.0,22217.0,86.0,23687.0,63.0,31035.0,68.0,50045.0,-1.0,0.0,89.0,72619.0,88.0,85118.0,91.0,97750.0
Ocotlan,33.0,17420.0,35.0,15881.0,40.0,15112.0,54.0,14343.0,62.0,14367.0,99.0,19907.0,74.0,25448.0,83.0,36205.0,99.0,78627.0,69.0,121050.0,69.0,146184.0,72.0,164256.0
Campeche,34.0,17158.0,31.0,16889.0,29.0,16918.0,30.0,20127.0,34.0,23370.0,51.0,31329.0,42.0,44457.0,30.0,114407.0,50.0,166476.0,56.0,173645.0,57.0,216897.0,55.0,259005.0
Tampico,35.0,16381.0,33.0,16574.0,10.0,44842.0,7.0,68154.0,6.0,81380.0,10.0,99463.0,14.0,122248.0,15.0,180067.0,18.0,391534.0,12.0,648598.0,15.0,746417.0,16.0,859419.0
