,Pop1840,Pop1856,Pop1897,Pop1926,Pop1939,Pop1959,Pop1970,Pop1979,Pop1989,Pop2002,Pop2010
Polatsk,85,-11,-53,-54,-94,NA,NA,NA,NA,NA,NA
saransk,86,-175,40,-75,93,40,59,0,5,-4,-9
samara,87,57,9,6,0,9,0,-2,-2,0,-1
pskov,88,27,-31,-13,-35,-46,24,3,-3,4,-6
Doubno,89,-77,-63,-26,NA,NA,NA,NA,NA,NA,NA
Bender,90,21,-16,-52,-144,NA,11,-1,42,-66,NA
Kertch,91,2,13,-42,38,-64,-17,-14,-6,-20,-5
bar0ul,92,-17,-29,89,-7,14,6,-3,0,1,-2
Zinkiv,93,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ouman,94,-11,17,-11,-89,NA,NA,NA,NA,NA,NA
Ostrog,95,-55,-67,NA,NA,NA,NA,NA,NA,NA,NA
tjumen,96,-8,7,11,-25,16,25,-2,11,10,6
murom,97,-13,-130,50,-19,15,0,-16,-8,-15,-22
Kau0s,98,55,16,-7,-33,3,-1,-6,1,-7,-8
Balta,99,9,-36,-65,NA,NA,NA,NA,NA,NA,NA
Novomoskovsk,100,-35,-117,-46,70,NA,NA,NA,NA,NA,NA
arzamas,101,-14,NA,-133,NA,NA,-37,11,-1,9,-11
Moguilev-Podolskii,102,-43,14,-64,NA,NA,NA,NA,NA,NA,NA
Izyaslav,103,-62,-90,NA,NA,NA,NA,NA,NA,NA,NA
Tcherkasi,104,7,1,-13,-51,-18,45,7,14,5,-7
vyshvoloch,105,-54,-20,46,-3,-80,-49,NA,NA,NA,NA
Borodouzhiv,106,-35,-139,-5,NA,NA,NA,NA,NA,NA,NA
smolensk,107,-33,82,8,-5,-31,0,-2,0,-8,2
zlatoust,108,8,-44,52,6,2,-32,-25,-17,-12,-11
Ganca,109,1,28,4,-12,-36,18,-17,4,13,6
Gori,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erevan,111,33,-20,35,26,14,2,4,6,-3,-2
brjansk,112,10,-17,-51,69,35,4,-3,1,-1,-3
Simferopol,113,85,-25,12,-21,-10,-4,-9,-2,3,-7
lipeck,114,13,-42,-65,78,53,13,3,2,5,-3
Kobelyaki,115,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
kungur,116,-14,-95,10,-21,13,-37,NA,NA,NA,NA
Gloukhiv,117,-32,-66,-68,NA,NA,NA,NA,NA,NA,NA
Sloutsk,118,-67,-39,NA,NA,NA,NA,NA,NA,NA,NA
Borz0,119,-83,-55,NA,NA,NA,NA,NA,NA,NA,NA
mcensk,120,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prolouki,121,-15,-27,14,-82,NA,NA,NA,NA,NA,NA
Vasil'kiv,122,4,-126,32,NA,NA,NA,NA,NA,NA,NA
Slonim,123,-38,-29,1,NA,NA,NA,NA,NA,NA,NA
Mirgorod,124,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
rybinsk,125,-29,38,38,15,-10,-23,-20,-17,-15,-20
Konotop,126,-29,-7,37,-59,-95,-1,NA,NA,NA,NA
efremov,127,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
tutajev,128,-150,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinsk,129,15,12,-97,NA,NA,NA,-87,32,27,2
kamyshin,130,17,-71,-67,NA,-12,48,-20,-11,16,-16
Pereyaslav-Khmel'snitskii,131,-53,-36,NA,NA,NA,NA,NA,NA,NA,NA
Zvenigorodka,132,-43,-1,-78,NA,NA,NA,NA,NA,NA,NA
Vovtchansk,133,-39,-124,87,NA,NA,NA,NA,NA,NA,NA
Daugavpils,134,28,77,-43,-89,-58,8,-14,-8,-25,-23
Bar,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loutsk,136,-73,18,45,-71,-42,41,26,23,12,-1
Feodosiya,137,-20,35,-32,-31,NA,-113,NA,NA,NA,NA
stavropolj,138,84,-12,-1,-36,2,-2,-2,10,13,6
krasnojarsk,139,-72,102,52,13,16,1,1,1,1,0
livny,140,16,-22,-92,NA,NA,NA,NA,NA,NA,NA
chistopolj,141,12,-22,-118,-1,-19,NA,NA,NA,NA,NA
staryjoskol,142,-41,-14,-22,NA,NA,NA,-7,44,29,3
Vinnitsya,143,-1,53,8,-14,-20,18,22,0,-2,1
petrzavodsk,144,24,-138,96,39,18,-10,-6,-5,5,-5
Artemivsk,145,-1,-13,46,-37,-71,-27,-46,NA,NA,NA
Reni,146,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raseiniai,147,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krolevets,148,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balti,149,-57,42,1,-119,70,6,-7,14,-33,-8
Novograd-Volynskii,150,-60,32,NA,NA,NA,NA,NA,NA,NA,NA
0rva,151,93,-122,15,NA,NA,NA,NA,NA,NA,NA
kizljar,152,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panevzys,153,-100,4,33,NA,NA,-50,8,23,-10,-13
Orikhiv,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gadyatch,155,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kobryn,156,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khmelnitskii,157,-80,109,-28,-69,-12,51,25,19,14,1
Slovyansk,158,-16,-18,42,41,-40,-19,-26,-29,-14,-11
borovichi,159,6,NA,-92,41,NA,NA,NA,NA,NA,NA
novozybkov,160,-34,-11,-17,NA,NA,NA,NA,NA,NA,NA
Barysau,161,-87,36,35,4,-80,9,10,18,11,-3
P_rnu,162,80,-166,6,NA,NA,NA,NA,NA,NA,NA
Lokhvintsa,163,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavlograd,164,-33,4,-66,47,NA,-41,6,20,-21,-15
mozdok,165,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skvira,166,8,-11,NA,NA,NA,NA,NA,NA,NA,NA
Volodimir-Volynskii,167,NA,NA,-59,NA,NA,NA,NA,NA,NA,NA
vjazma,168,51,-79,-29,-23,NA,NA,NA,NA,NA,NA
Mstsislau,169,-39,NA,NA,NA,NA,NA,NA,NA,NA,NA
gatchi0,170,-103,57,-58,53,NA,NA,NA,NA,NA,NA
Rivne,171,-118,168,5,-81,-53,68,29,4,15,3
Kiliya,172,-85,-27,NA,NA,NA,NA,NA,NA,NA,NA
peslavzales,173,-93,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bykhau,174,-47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukmerg,175,-47,-16,NA,NA,NA,NA,NA,NA,NA,NA
Tchavousy,176,-117,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radomishl,177,-5,-116,NA,NA,NA,NA,NA,NA,NA,NA
cheboksary,178,-123,NA,NA,24,139,40,18,9,9,-2
balashov,179,-28,NA,48,-17,-53,-18,-29,-25,NA,NA
Zolotonosha,180,-40,NA,-74,NA,NA,NA,NA,NA,NA,NA
sarapul,181,0,45,-38,-26,-10,-6,-33,-21,-12,-12
Tarascha,182,-9,-99,NA,NA,NA,NA,NA,NA,NA,NA
Bilogirsk,183,118,-185,NA,NA,NA,NA,NA,NA,NA,NA
Gaisin,184,-46,NA,NA,NA,NA,NA,NA,NA,NA,NA
tihvin,185,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bobrinets,186,19,-61,NA,NA,NA,NA,NA,NA,NA,NA
Berislav,187,-31,-51,NA,NA,NA,NA,NA,NA,NA,NA
Romni,188,-72,130,-39,NA,NA,NA,NA,NA,NA,NA
elabuga,189,-56,NA,NA,NA,NA,NA,NA,NA,NA,NA
alatyr,190,11,-86,72,-99,NA,NA,NA,NA,NA,NA
volgograd,191,-2,154,21,7,-6,-1,-3,-2,3,1
Otchakiv,192,-100,-9,NA,NA,NA,NA,NA,NA,NA,NA
Novgorod-Siverskii,193,-87,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poutivl,194,-35,NA,NA,NA,NA,NA,NA,NA,NA,NA
velluki,195,-55,NA,22,-13,-14,15,-19,-4,-14,-24
Dubasari,196,-72,-4,NA,NA,NA,NA,NA,NA,NA,NA
Kuldga,197,-93,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kovel',198,NA,25,16,-99,NA,NA,NA,NA,NA,NA
Telsiai,199,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
troickch,200,NA,73,-15,-38,-13,-46,-52,NA,NA,NA
Mazyr,201,NA,NA,NA,NA,NA,NA,NA,-96,33,-5
vjazniki,202,-67,NA,-2,18,NA,NA,NA,NA,NA,NA
Orhei,203,NA,-59,NA,NA,NA,NA,NA,NA,NA,NA
Prouzhany,204,-51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koustaisi,205,NA,123,-13,-18,0,-18,-14,0,-31,6
Tsyouroupinsk,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ovroutch,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
balah0,208,NA,NA,NA,-7,-85,NA,NA,NA,NA,NA
kashira,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0vagroudak,210,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuressaare,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryoupol',212,14,111,-17,71,-14,4,-1,-7,-5,-6
kineshma,213,NA,NA,19,77,-57,-46,-42,-23,NA,NA
Tiraspol,214,41,87,-164,26,-11,37,-2,22,-31,-11
buguruslan,215,-48,-8,8,NA,NA,NA,NA,NA,NA,NA
Semei,216,17,86,NA,NA,25,5,-9,0,-28,9
cheljabinsk,217,NA,62,90,38,16,-1,-1,-1,-1,1
Petropavlovsk,218,30,32,NA,NA,47,-11,-18,-2,-26,-1
Jkabpils,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koupyansk,220,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA
sterlitamak,221,-37,59,26,-41,85,15,-16,-6,14,4
shadrinsk,222,-78,18,45,-38,10,-3,NA,NA,NA,NA
toljatti,223,NA,NA,NA,NA,27,124,29,10,2,-2
ulanude,224,NA,NA,79,75,-6,2,-9,5,2,3
Kaniv,225,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khorol,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piryatin,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shuja,228,89,-18,40,-26,-83,-53,NA,NA,NA,NA
Retchytsa,229,-18,NA,-28,-13,NA,NA,NA,NA,NA,NA
Telavi,230,-61,59,NA,NA,NA,NA,NA,NA,NA,NA
syktyvkar,231,NA,NA,NA,NA,3,64,2,15,7,-2
Letitchiv,232,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orsha,233,NA,-14,42,50,-72,18,-21,-13,7,-16
klin,234,NA,NA,NA,-65,17,31,-27,NA,NA,NA
Vaukavysk,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solikamsk,236,NA,NA,NA,14,41,-52,-30,-8,-15,NA
Izyoum,237,57,-65,NA,3,NA,NA,NA,NA,NA,NA
Primorsk,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zmiiv,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ovidiopol,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
buzuluk,241,-11,29,47,-22,-73,-18,NA,NA,NA,NA
jakutsk,242,NA,NA,NA,83,-39,9,16,6,23,22
Verkhnodniprovsk,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tukums,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
irbit,245,NA,93,NA,NA,NA,NA,NA,NA,NA,NA
Valga,246,161,-212,NA,NA,NA,NA,NA,NA,NA,NA
borisglebsk,247,79,36,25,-51,-118,NA,NA,NA,NA,NA
bijsk,248,NA,73,79,-14,17,-12,-27,-9,2,-21
roslavlj,249,30,47,6,-39,NA,NA,NA,NA,NA,NA
Zaporizhzha,250,NA,89,84,55,-3,-1,-2,0,1,-2
Ragatchou,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loubni,252,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
Gorodnya,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamil',254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
novokuzneck,255,NA,NA,167,38,17,0,-2,-6,-3,-5
Bauska,256,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
siauliai,257,-7,79,5,-71,3,25,1,7,-6,-11
Garadok,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aleksin,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnograd,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kujbyshev,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
achinsk,262,NA,NA,41,-38,-40,82,-6,-25,2,-25
aleksandrov,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kingisepp,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viljandi,265,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
krasnufimsk,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oskemen,267,NA,NA,NA,NA,173,7,-9,2,-11,-3
ishim,268,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA
egorjevsk,269,18,91,17,-4,-104,-36,NA,NA,NA,NA
dmitrov,270,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
Csis,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepel,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tcheven,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ventspils,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bugulma,275,NA,NA,NA,NA,33,-27,NA,NA,NA,NA
Klimavitchy,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
podoljsk,277,NA,NA,45,114,6,-12,-15,-17,-22,4
Ashmyany,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orsk,279,NA,49,NA,99,56,-16,-19,-12,-11,-7
kurgan,280,NA,NA,129,-5,57,21,-1,-5,1,-9
pjatigorsk,281,NA,116,86,-58,-71,-14,-16,8,16,-2
noginsk,282,NA,-12,183,3,-49,-44,-20,-23,-5,-48
cherepovec,283,NA,NA,77,-55,100,53,8,-1,0,-2
birsk,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kovrov,285,NA,63,58,36,-17,-25,-21,-3,-8,-9
kansk,286,NA,NA,43,44,17,-39,-45,-6,-12,NA
belebej,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vru,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rakvere,289,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
minusinsk,290,NA,NA,73,NA,NA,NA,NA,NA,NA,NA
Haapsalu,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pugachjov,292,46,-13,-9,NA,NA,NA,NA,NA,NA,NA
glazov,293,NA,NA,NA,NA,39,-30,NA,-5,-5,NA
Starobilsk,294,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rzekne,295,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA
Atyrau/guriev,296,NA,NA,NA,NA,108,4,-21,-7,0,18
joshkarola,297,NA,NA,NA,NA,125,45,-13,2,12,-6
Valmiera,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nizhnudinsk,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soroca,300,17,77,NA,NA,NA,NA,NA,NA,NA,NA
Cahuk,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shaki,NA,254,-73,-65,-78,NA,NA,NA,NA,NA,NA
ejsk,NA,212,-23,-38,-69,-88,NA,NA,NA,NA,NA
bolhov,NA,214,-80,-131,NA,NA,NA,NA,NA,NA,NA
shusha,NA,200,-48,NA,NA,NA,NA,NA,NA,NA,NA
derbent,NA,42,-147,35,-62,NA,NA,NA,NA,-47,48
Akhaltsikhe,NA,168,-127,NA,NA,NA,NA,NA,NA,NA,NA
hvalynsk,NA,123,-130,NA,NA,NA,NA,NA,NA,NA,NA
novrossijsk,NA,116,-82,118,-34,-65,5,-19,-2,36,2
Gyoumri,NA,37,10,-21,-17,-6,4,-8,-108,39,-4
skopin,NA,107,-139,NA,NA,NA,NA,NA,NA,NA,NA
zhizdra,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA
velizh,NA,-9,-152,NA,NA,NA,NA,NA,NA,NA,NA
Gomel,NA,147,51,26,-20,-17,12,2,12,-4,-1
uglich,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA
serdobsk,NA,-1,NA,-120,NA,NA,NA,NA,NA,NA,NA
karachev,NA,118,-73,NA,NA,NA,NA,NA,NA,NA,NA
Berdyansk,NA,69,21,-50,-1,-58,8,-3,-10,-18,-8
kasimov,NA,118,-104,NA,NA,NA,NA,NA,NA,NA,NA
rostov,NA,103,-101,15,-71,NA,NA,NA,NA,NA,NA
petrovsk,NA,153,-101,0,NA,NA,NA,NA,NA,NA,NA
ostashkov,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
borovsk,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
krasnodar,NA,-4,115,16,-22,2,2,3,-1,-2,4
nizhnlomov,NA,-118,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tchougouiv,NA,-16,-92,NA,NA,NA,NA,NA,NA,NA,NA
starajarusa,NA,87,-41,8,NA,NA,NA,NA,NA,NA,NA
velustug,NA,32,-123,53,-26,NA,NA,NA,NA,NA,NA
kozeljsk,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA
beljov,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
starodub,NA,-2,-83,NA,NA,NA,NA,NA,NA,NA,NA
insar,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
ostrogozhsk,NA,-1,47,-57,NA,NA,NA,NA,NA,NA,NA
ryljsk,NA,5,-93,NA,NA,NA,NA,NA,NA,NA,NA
mglin,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
temnikov,NA,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
suhinichi,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
nevelj,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
knjaginino,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
atkarsk,NA,-7,NA,-21,NA,NA,NA,NA,NA,NA,NA
chaplygin,NA,18,8,NA,NA,NA,NA,NA,NA,NA,NA
zarajsk,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
kaljazin,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
shack,NA,-7,-9,-67,NA,NA,NA,NA,NA,NA,NA
belyj,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
krasnslobod,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
dorogobuzh,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
suzdalj,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
kirsanov,NA,-1,NA,61,NA,NA,NA,NA,NA,NA,NA
korocha,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA
toropec,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
porhov,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
slobodskoj,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
galich,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
sevsk,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
medyn,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
georgijevsk,NA,-5,-16,74,-77,NA,NA,NA,NA,NA,NA
dmitrkorlov,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
usmanj,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
obojanj,NA,-6,-12,NA,NA,NA,NA,NA,NA,NA,NA
kjahta,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
vereja,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
novouzensk,NA,-1,30,NA,NA,NA,NA,NA,NA,NA,NA
meschovsk,NA,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
tara,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
kashin,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
enisejsk,NA,-2,-9,NA,NA,NA,NA,NA,NA,NA,NA
alapajevsk,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ustjuzh0,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
holm,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
kozjmodemsk,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
lebedjanj,NA,-1,32,NA,NA,NA,NA,NA,NA,NA,NA
Nyasvizh,NA,-33,NA,NA,NA,NA,NA,NA,NA,NA,NA
0xtchivan,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
valdaj,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
zadonsk,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
spaskrjazan,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
nerchinsk,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
menzelisnsk,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
