,city,2011,city.1,2001,city.2,1991,city.3,1981,city.4,1971,city.5,1961,city.6,1951,city.7,1940,city.8,1930,city.9,1921,city.10,1910,city.11,1900
Cagliari,26.0,149576.0,20.0,164249.0,16.0,211791.0,16.0,233847.0,15.0,225823.0,15.0,172932.0,18.0,142770.0,20.0,106645.0,21.0,101960.0,33.0,61807.0,31.0,60193.0,31.0,53737.0
Rimini,27.0,143321.0,29.0,128656.0,31.0,114815.0,31.0,127836.0,38.0,99057.0,44.0,72736.0,39.0,77300.0,39.0,64722.0,41.0,62619.0,41.0,56809.0,41.0,50999.0,47.0,43287.0
Salerno,28.0,139019.0,26.0,138188.0,25.0,153427.0,24.0,157494.0,21.0,152889.0,25.0,103899.0,29.0,90849.0,37.0,67060.0,42.0,62171.0,48.0,52068.0,48.0,45761.0,48.0,42800.0
Ferrara,29.0,135369.0,28.0,130992.0,32.0,110760.0,26.0,149512.0,28.0,117612.0,29.0,90493.0,20.0,134584.0,18.0,119304.0,18.0,115967.0,15.0,107697.0,15.0,95201.0,13.0,87652.0
Sassari,30.0,130658.0,31.0,120729.0,29.0,120035.0,34.0,119620.0,42.0,93082.0,40.0,76396.0,49.0,70117.0,54.0,55445.0,56.0,53608.0,63.0,42968.0,55.0,43174.0,58.0,38358.0
Siracusa,31.0,123850.0,30.0,123657.0,27.0,125402.0,35.0,117647.0,46.0,90055.0,43.0,74863.0,45.0,71010.0,57.0,53268.0,61.0,50191.0,52.0,49666.0,61.0,40874.0,74.0,32006.0
Pescara,32.0,123077.0,33.0,116286.0,26.0,128607.0,29.0,131302.0,27.0,120578.0,33.0,81789.0,55.0,65558.0,60.0,51869.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Monza,33.0,122712.0,32.0,120204.0,28.0,121207.0,32.0,123149.0,30.0,110433.0,34.0,79800.0,42.0,73180.0,43.0,63987.0,43.0,60919.0,40.0,57086.0,39.0,53254.0,49.0,42643.0
Latina,34.0,119804.0,36.0,107898.0,69.0,72704.0,75.0,64531.0,84.0,54075.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Bergamo,35.0,119551.0,34.0,113143.0,30.0,115757.0,33.0,122114.0,26.0,126554.0,22.0,110778.0,25.0,105424.0,25.0,86011.0,26.0,82152.0,31.0,62317.0,35.0,55378.0,39.0,47850.0
Forli,36.0,118167.0,35.0,108335.0,49.0,90650.0,39.0,110809.0,58.0,78008.0,51.0,65411.0,38.0,77522.0,38.0,65773.0,44.0,60873.0,49.0,52024.0,47.0,46066.0,45.0,43741.0
Giuliano in Campania,37.0,117963.0,42.0,97999.0,89.0,59105.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Trento,38.0,116298.0,39.0,104946.0,57.0,83134.0,59.0,80512.0,44.0,91098.0,72.0,50236.0,61.0,62389.0,53.0,56090.0,52.0,56831.0,73.0,35150.0,94.0,30066.0,99.0,24918.0
Vicenza,39.0,115927.0,37.0,107223.0,34.0,109317.0,37.0,114615.0,29.0,114318.0,37.0,78959.0,34.0,79943.0,35.0,69463.0,37.0,65292.0,35.0,60355.0,36.0,54607.0,42.0,44822.0
Terni,40.0,113324.0,38.0,105018.0,47.0,93485.0,38.0,111601.0,32.0,107304.0,53.0,65248.0,32.0,84461.0,36.0,68904.0,40.0,62774.0,56.0,47877.0,79.0,32981.0,81.0,30647.0
Novara,41.0,105024.0,40.0,100910.0,39.0,103324.0,46.0,102182.0,36.0,100890.0,28.0,92096.0,50.0,69424.0,46.0,62681.0,39.0,63269.0,42.0,56323.0,37.0,54691.0,40.0,45205.0
Bolzano,42.0,104029.0,47.0,94989.0,45.0,100457.0,43.0,105243.0,33.0,106067.0,31.0,84795.0,46.0,70966.0,73.0,45559.0,79.0,40806.0,86.0,25468.0,-1.0,0.0,-1.0,0.0
Piacenza,43.0,103206.0,44.0,95594.0,41.0,102337.0,40.0,109051.0,34.0,105205.0,35.0,79070.0,43.0,72991.0,40.0,64243.0,35.0,65811.0,61.0,43785.0,67.0,38560.0,62.0,36170.0
Ancona,44.0,102997.0,41.0,100507.0,38.0,103387.0,42.0,106584.0,31.0,110439.0,38.0,77775.0,31.0,85893.0,24.0,89277.0,24.0,84422.0,30.0,66314.0,30.0,63140.0,30.0,56813.0
Arezzo,45.0,100212.0,49.0,91589.0,66.0,74272.0,67.0,74524.0,74.0,64046.0,86.0,43964.0,53.0,66503.0,50.0,60396.0,51.0,57097.0,50.0,51911.0,46.0,47588.0,44.0,44331.0
