,1901,1911,1921,1931,1941,1951,c1961,c1971,c1981,c1991,2002,2011,,,
Lauzon,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Dundas,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Joliette,70,NA,NA,NA,6,-20,1,NA,NA,NA,NA,13,-20,5,-4
Newcastle,71,NA,NA,NA,NA,NA,NA,NA,NA,-25,NA,NA,-25,2,-12.5
Cote-Saint-Luc,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Saint-Jerome,73,13,-19,10,-3,6,5,-25,2,-8,4,38,38,12,3.166666667
Richmond Hill,74,NA,NA,NA,NA,NA,NA,-22,4,32,23,NA,32,5,6.4
Summerside,75,13,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,3,-6
Whitby,76,NA,2,3,NA,NA,NA,NA,-27,14,28,NA,28,6,4.666666667
Wallaceburg,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Simcoe,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Regina,79,65,-3,4,0,-2,0,-6,-1,-3,0,5,65,12,5.416666667
Renfrew,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Glace Bay,81,56,-7,-2,0,-24,-19,5,NA,NA,NA,NA,56,8,7
Sydney Mines,82,NA,21,NA,-34,NA,NA,5,NA,NA,NA,NA,-34,4,-8.5
Saguenay,83,28,-4,6,2,-12,49,-8,1,-7,-1,4,49,12,4.083333333
Newmarket,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,1.5
Magog,85,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,-2,2,-1
Riviere du Loup,86,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,-4,2,-2
Brampton,87,NA,NA,NA,NA,NA,-7,50,17,4,6,NA,50,6,8.333333333
Lethbridge,88,55,-16,-7,6,6,2,-19,-2,4,7,19,55,12,4.583333333
