,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Almeria,26.0,189680.0,28.0,166328.0,30.0,155120.0,31.0,140745.0,31.0,114310.0,31.0,102870.0,28.0,76521.0,20.0,69833.0,25.0,54091.0,26.0,50293.0,24.0,45230.0,19.0,47253.0
Donostia-San Sebastian,27.0,185512.0,26.0,178377.0,25.0,171439.0,24.0,169233.0,17.0,161320.0,17.0,145170.0,15.0,113880.0,13.0,89302.0,14.0,78413.0,22.0,61842.0,22.0,47985.0,23.0,37729.0
Burgos,28.0,178864.0,29.0,166187.0,28.0,160278.0,30.0,152545.0,30.0,116873.0,30.0,105120.0,29.0,74153.0,26.0,60461.0,38.0,40150.0,43.0,32300.0,34.0,31565.0,29.0,31488.0
Santander,29.0,178095.0,25.0,180717.0,20.0,191079.0,21.0,179694.0,21.0,148813.0,21.0,133920.0,22.0,102586.0,15.0,85074.0,13.0,85181.0,15.0,72543.0,14.0,65234.0,16.0,54384.0
Castello de la Plana,30.0,176298.0,32.0,147667.0,34.0,134213.0,34.0,124487.0,37.0,92858.0,37.0,83520.0,46.0,53310.0,40.0,46989.0,45.0,36881.0,35.0,34518.0,30.0,33358.0,32.0,30057.0
Albacete,31.0,171999.0,31.0,148934.0,35.0,130023.0,36.0,113897.0,36.0,93198.0,36.0,83790.0,31.0,71824.0,23.0,64277.0,36.0,41976.0,44.0,32098.0,51.0,24841.0,60.0,21472.0
Logrono,32.0,152698.0,36.0,133058.0,36.0,122254.0,37.0,109536.0,39.0,82841.0,39.0,74520.0,51.0,52050.0,42.0,46291.0,49.0,34359.0,60.0,26843.0,59.0,24000.0,74.0,18994.0
San Cristobal de la Laguna,33.0,152025.0,38.0,128822.0,39.0,110895.0,41.0,106146.0,43.0,77785.0,-1.0,0.0,60.0,41759.0,67.0,33098.0,77.0,17780.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Salamanca,34.0,151658.0,30.0,156368.0,27.0,162888.0,29.0,153981.0,29.0,122278.0,29.0,109980.0,25.0,80250.0,19.0,71789.0,27.0,46961.0,42.0,32463.0,37.0,29859.0,45.0,25040.0
Badajoz,35.0,151214.0,34.0,133519.0,37.0,122225.0,39.0,107136.0,34.0,100652.0,34.0,90540.0,26.0,79304.0,31.0,55911.0,30.0,43759.0,30.0,38078.0,31.0,33232.0,30.0,31215.0
Huelva,36.0,147808.0,33.0,142284.0,33.0,142547.0,32.0,127822.0,35.0,96383.0,35.0,86670.0,33.0,63604.0,30.0,56488.0,29.0,44937.0,36.0,34466.0,41.0,29108.0,64.0,20966.0
Lleida,37.0,137283.0,41.0,112199.0,38.0,112093.0,40.0,106814.0,38.0,88929.0,38.0,80010.0,47.0,52890.0,51.0,41560.0,42.0,38925.0,29.0,38218.0,53.0,24600.0,61.0,21450.0
Marbella,38.0,135124.0,45.0,100036.0,52.0,80599.0,62.0,60172.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tarragona,39.0,133223.0,39.0,113129.0,40.0,110153.0,38.0,109112.0,45.0,77331.0,72.0,35761.0,65.0,38810.0,61.0,35698.0,57.0,30771.0,53.0,27974.0,63.0,23342.0,41.0,26345.0
Leon,40.0,131411.0,37.0,130916.0,32.0,144021.0,33.0,127095.0,33.0,105289.0,33.0,94680.0,37.0,59548.0,45.0,44890.0,59.0,29351.0,80.0,21464.0,82.0,19260.0,84.0,17056.0
Cadiz,41.0,124014.0,35.0,133363.0,31.0,154347.0,27.0,156711.0,26.0,134387.0,26.0,120870.0,23.0,100271.0,14.0,87616.0,17.0,75857.0,12.0,76716.0,13.0,67293.0,12.0,69234.0
Mataro,42.0,123367.0,43.0,106358.0,44.0,101510.0,42.0,97008.0,46.0,73191.0,80.0,29955.0,74.0,31658.0,80.0,27668.0,67.0,24068.0,71.0,24175.0,76.0,21947.0,69.0,19719.0
