,city,2010,city.1,2000,city.2,1990,city.3,1980,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1914,city.11,1904
Hirakata,45,407978,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kashiwa,46,404012,49,327915,50,305137,61,239291,85,150688,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Miyazaki,47,400583,54,305870,56,287487,53,264986,60,202982,54,158396,46,125685,61,66508,47,58901,-1,0,-1,0,-1,0
Toyonaka,48,389341,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Nagano,49,381511,39,360190,39,347025,37,324494,31,285431,51,160567,41,143580,52,76980,37,73926,55,37356,39,41144,31,37272
Ichinomiya,50,378566,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Toyohashi,51,376665,37,364951,41,338034,42,304345,40,258530,33,215527,40,145942,24,142759,17,138863,23,65216,25,54742,-1,0
Okazaki,52,372357,43,336694,49,306851,55,262482,56,210555,48,166133,65,96069,47,84155,41,65507,52,38537,-1,0,-1,0
Takasaki,53,371302,70,239902,68,236566,68,221471,68,193127,64,142274,62,97941,56,71045,46,59991,57,36886,34,44146,38,35259
Wakayama,54,370364,30,432177,24,445231,20,453391,17,418748,15,337762,21,226419,16,195209,21,117487,18,83598,16,77756,15,68525
Nara,55,366591,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Takatsuki,56,357359,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Suita,57,355798,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Asahikawa,58,347095,40,359525,35,359133,34,352694,30,288550,42,188374,45,126124,43,87519,29,82577,30,61398,-1,0,-1,0
Kōchi,59,343393,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kawagoe,60,342670,46,330845,51,304921,56,259327,72,171016,84,107574,-1,0,99,38432,-1,0,-1,0,-1,0,-1,0
Iwaki,61,342249,38,360102,36,355808,36,342197,25,327228,25,260198,27,188967,-1,0,-1,0,-1,0,-1,0,-1,0
Tokorozawa,62,341924,48,330196,53,303091,64,236521,90,136679,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Maebashi,63,340291,61,284211,57,286370,52,265240,54,223634,44,181993,33,156999,44,87075,27,84931,28,62391,29,50188,26,41772
Kōriyama,64,338712,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ōtsu,65,337634,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Koshigaya,66,326313,53,308361,58,285370,67,223285,87,139484,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Akita,67,323600,52,317666,54,302497,50,284949,49,235970,37,203715,29,167550,39,96172,61,38371,22,67261,53,36660,42,34402
Naha,68,315954,55,301053,52,304837,46,295874,33,276429,32,223004,91,75779,63,65844,45,60555,34,53917,24,55577,25,43169
Yokkaichi,69,307766,58,291110,60,274271,57,255436,51,229290,40,196016,31,158624,66,63754,55,51832,60,35216,55,33844,-1,0
Kasugai,70,305569,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Kurume,71,302402,71,236533,71,228324,69,217054,65,194208,57,155039,50,121592,41,89585,28,83014,43,43669,44,39251,43,33359
Aomori,72,299520,56,297974,55,287847,48,287685,48,240120,38,202210,55,114559,36,99197,31,82152,38,48926,31,47141,41,34909
Morioka,73,298348,59,288829,69,235468,65,229134,64,196083,55,157470,52,117636,49,79578,42,62290,46,42424,35,43562,-1,0
Fukushima,74,292590,57,291101,59,277591,54,262819,53,227511,67,139077,63,97616,90,48398,56,42116,59,35834,54,34083,-1,0
Akashi,75,290959,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Tsu,76,285746,-1,0,101,157269,101,145054,97,125230,80,110903,64,96436,59,68641,50,56117,40,47737,30,47362,35,36103
Nagaoka,77,282674,86,193418,87,185949,82,180321,76,162357,62,148340,67,94856,60,67035,48,57959,47,41626,43,39463,-1,0
Shimonoseki,78,280947,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ichihara,79,280416,62,278293,62,257741,70,216364,82,156041,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Hakodate,80,279127,60,287664,48,307248,38,320280,46,241710,27,243018,19,229084,15,203922,12,197358,10,144770,12,99886,12,85341
Ibaraki,81,274822,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yao,82,271460,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mito,83,268750,67,246704,70,235048,71,215700,71,173866,66,139489,89,77553,62,66391,54,52928,48,39465,36,43236,34,36215
Kakogawa,84,266937,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Fukui,85,266796,66,252333,63,252756,60,241046,62,200588,60,149815,57,108461,37,98073,39,66620,31,56673,23,56275,22,50222
Tokushima,86,264548,63,268262,61,263440,59,249334,55,223502,43,182853,44,133372,28,119697,26,90698,21,68557,18,70353,17,63744
