cityName,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2001,city.11,2011,netDistance
Lindsay,44,6193,-1,0,-1,0,-1,0,92,8497,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,45
Truro,45,6054,58,6159,65,7683,-1,0,77,10317,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,46
Barrie,46,5681,56,6420,67,6936,63,7736,80,9748,65,21858,48,36430,59,60717,38,101196,37,126495,28,161642,19,194432,27
Salaberry-de-Valleyfield,47,5565,-1,0,-1,0,-1,0,48,17102,61,23558,58,29882,81,37473,-1,0,-1,0,-1,0,81,38323,-34
Dawson,49,5077,68,3041,86,1088,93,855,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,50
Esquimalt,50,5020,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,51
Collingwood,51,4982,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,52
Cobourg,52,4852,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,53
Niagara Falls,53,4648,42,9742,37,14837,34,19088,40,20649,37,37966,26,75932,24,126554,20,210923,15,351539,12,394772,11,404524,42
Pembroke,54,4473,-1,0,-1,0,-1,0,73,11249,95,15240,91,18860,-1,0,-1,0,-1,0,-1,0,-1,0,55
Brandon,55,4340,50,7570,35,15477,41,17188,45,17632,57,24632,64,28277,-1,0,100,36240,-1,0,-1,0,70,45624,-15
Calgary,56,4290,10,43703,8,63312,8,83879,9,88927,7,177938,8,279183,9,403326,5,626020,4,768650,4,1007469,4,1300352,52
Port Hope,57,4227,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58
Ingersoll,58,4224,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,59
Trenton,59,4213,-1,0,-1,0,-1,0,93,8331,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,60
Aylmer,60,4185,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,61
Oshawa,61,4173,48,8049,46,11925,27,23401,29,28848,27,50186,24,80968,27,120395,24,154292,21,250167,18,315099,13,372378,48
Portage la Prairie,62,3932,59,5904,68,6517,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,63
Lachine,63,3869,-1,0,34,15487,36,18618,42,20147,42,34383,47,38625,69,44491,95,37511,-1,0,-1,0,-1,0,64
New Glasgow,64,3833,55,6460,58,9013,-1,0,84,9248,-1,0,83,22017,-1,0,-1,0,-1,0,-1,0,-1,0,65
Orillia,65,3709,-1,0,-1,0,-1,0,79,9894,-1,0,95,18271,-1,0,-1,0,-1,0,-1,0,89,30546,-24
Lauzon,66,3691,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,67
Dundas,67,3625,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68
Joliette,68,3444,-1,0,-1,0,-1,0,62,12749,84,16917,82,22294,-1,0,-1,0,-1,0,-1,0,76,42850,-8
Newcastle,69,3053,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,49598,-1,0,-1,0,70
Cote-Saint-Luc,70,3040,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71
Saint-Jerome,71,2981,67,3130,80,3328,70,5532,71,11386,66,20668,62,29119,86,35374,85,43569,93,51764,90,59614,53,69598,18
Richmond Hill,72,2956,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,32411,93,37874,61,80191,37,132030,-1,0,73
Summerside,73,2927,69,2772,81,3256,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74
Whitby,74,2879,-1,0,75,4170,72,5346,-1,0,-1,0,-1,0,-1,0,99,36736,85,61329,57,87413,-1,0,75
Wallaceburg,75,2809,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,76
Simcoe,76,2702,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77
Regina,77,2652,13,30213,16,34475,13,53218,13,58236,15,88881,15,126722,21,139028,22,164394,25,191720,25,178225,20,192079,57
Renfrew,78,2607,70,2607,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,79
Glace Bay,79,2531,25,16605,31,17076,33,20721,34,25154,60,24136,76,24258,73,43584,-1,0,-1,0,-1,0,-1,0,80
Sydney Mines,80,2526,71,2526,61,8381,-1,0,94,8282,-1,0,-1,0,90,34097,-1,0,-1,0,-1,0,-1,0,81
Saguenay,81,2364,60,5880,59,8937,52,11921,51,15975,63,23111,14,133294,22,131924,21,185426,28,160947,29,160973,25,161163,56
Newmarket,82,2192,73,2192,-1,0,80,2192,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,65788,-1,0,83
Magog,83,2131,74,2131,-1,0,81,2131,86,9051,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84
Riviere du Loup,84,2128,75,2128,-1,0,82,2128,89,8752,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85
Brampton,85,2122,76,2122,-1,0,83,2122,-1,0,-1,0,93,18553,44,73602,27,149036,23,234426,17,325428,-1,0,86
Lethbridge,86,2072,35,12073,48,11198,56,10950,50,16568,46,31194,43,41472,62,51840,64,64889,60,81021,53,100238,35,111299,51
Saint-Jean-sur-Richelieu,87,2046,53,6721,47,11396,54,11396,59,13694,59,24254,50,34640,66,48064,70,60789,77,68497,68,75149,49,81802,38
Sudbury,88,2027,66,4150,60,8621,37,18554,22,32200,31,46040,17,110748,19,172524,26,149919,30,157623,32,155219,23,168197,65
Welland,89,2004,77,2004,-1,0,84,2004,64,12523,92,15956,49,36151,70,44220,83,45467,100,46934,-1,0,61,60540,28
Drummondville,90,2001,78,2001,-1,0,85,2001,75,10675,52,26458,46,39301,72,43584,76,54480,79,68160,66,76599,43,93046,47
Saint-Vital,91,1896,79,1896,-1,0,86,1896,-1,0,-1,0,61,29401,95,33081,-1,0,-1,0,-1,0,-1,0,92
Oakville,92,1840,80,1840,-1,0,87,1840,-1,0,-1,0,-1,0,58,61497,55,75897,43,114732,35,144738,-1,0,93
Lachute,93,1822,81,1822,-1,0,88,1822,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94
Preston,94,1805,82,1805,-1,0,89,1805,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95
Sainte-Therese,95,1727,83,1727,-1,0,90,1727,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96
Saint-Laurent,96,1703,84,1703,-1,0,91,1703,-1,0,39,35827,-1,0,54,63140,62,65909,70,72422,65,77391,-1,0,97
Grand Falls,97,1688,85,1688,77,3846,75,4564,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,98
,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Verdun,-1,0,16,25086,12,42291,11,60772,12,67346,16,77638,25,78360,43,74574,69,61340,84,61356,89,60564,-1,0,0
Medicine Hat,-1,0,27,16019,56,9663,59,9579,60,12939,67,20661,71,25310,-1,0,79,49621,92,52704,87,60924,50,76156,-51
Westmount,-1,0,28,14678,29,17630,25,24377,32,26031,58,24337,73,25021,-1,0,-1,0,-1,0,-1,0,-1,0,0
Saint Boniface,-1,0,30,13821,42,12955,42,16358,39,21667,48,28648,40,45539,68,46720,-1,0,-1,0,-1,0,-1,0,0
Moose Jaw,-1,0,31,13812,-1,0,35,19078,36,23181,47,29349,53,33222,-1,0,-1,0,-1,0,-1,0,87,32546,-88
Amherst,-1,0,45,9048,53,10032,65,7519,90,8630,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
Nelson,-1,0,52,7068,72,5264,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
