CanadaSeed,GCPNT_LATcs,GCPNT_LONcs,CanadaEpoch,GCPNT_LATce,GCPNT_LONce,SpainSeed,GCPNT_LATss,GCPNT_LONss,SpainEpoch,GCPNT_LATse,GCPNT_LONse,ItalySeed,GCPNT_LATis,GCPNT_LONis,ItalylEpoch,GCPNT_LATie,GCPNT_LONie,MexicoSeed,GCPNT_LATms,GCPNT_LONms,MexicoEpoch,GCPNT_LATme,GCPNT_LONme,UKSeed,GCPNT_LATus,GCPNT_LONus,UKEpoch,GCPNT_LATue,GCPNT_LONue,JapanSeed,GCPNT_LATjs,GCPNT_LONjs,EpochJapan,GCPNT_LATje,GCPNT_LONje,USASeed,GCPNT_LATuss,GCPNT_LONuss,USAEpoch,GCPNT_LATuse,GCPNT_LONuse,FranceSeed,GCPNT_LATfs,GCPNT_LONfs,FranceEpoch,GCPNT_LATfe,GCPNT_LONfe,SovietSeed,GCPNT_LATfe,GCPNT_LONfe,SovietEpoch,GCPNT_LATfe,GCPNT_LONfe
,,,Charlottetown,46.234953,-63.132935,,,,Caceres,39.4745175,-6.3716761,,,,Capannori,43.8420391,10.5735254,,,,Celaya,20.5222851,-100.8307739,Sheffield,53.388841,-1.417890387,Derby,52.9212617,-1.4761491,Sendai,38.27557021,140.9104717,Himeji,34.8153529,134.6854793,,,,Bakersfield,35.3738712,-119.0194639,,,,Avignon,43.9492493,4.8059012,,,,Chisi0u,54.58,55.38
,,,Chatham,42.405207,-82.191467,,,,Cadiz,36.5298292,-6.2925679,,,,Caserta,41.0820827,14.334708,,,,Centro,18.0271651,-92.77477676,,,,Doncaster,53.5227681,-1.1335312,Nagasaki,32.76273432,129.8565366,Kagoshima,31.521587,130.5474077,,,,Baltimore,39.2847494,-76.62047464,,,,Bastia,42.7065505,9.452542,,,,Chita,52.03333333,113.5
,,,Chilliwack,49.157677,-121.9514307,,,,Cartagena,37.6267868,-1.0006184,,,,Castellammare di Stabia,40.6943046,14.4804813,,,,Chihuahua,28.5000001,-106.0000001,,,,Dudley,52.5110832,-2.0816813,,,,Kanazawa,36.561627,136.6568822,,,,Baton Rouge,30.4459596,-91.18738,,,,Bayonne,43.4933379,-1.475099,,,,Daugavpils,55.88,26.53
,,,Drummondville,45.8864303,-72.5018764,,,,Castello de la Plana,39.9860347,-0.0377354,,,,Catania,37.5022355,15.08738,,,,Ciudad Guzman,19.7001632,-103.4639353,,,,Dundee,56.4605938,-2.97019,,,,Kawaguchi,35.8078228,139.7241054,,,,Birmingham,33.5206824,-86.8024326,,,,Beauvais,49.4300997,2.0823355,,,,Dniepropetrovsk,48.45,34.98
,,,East York,43.6913391,-79.3278212,,,,Ceuta,35.888361,-5.304138,,,,Catanzaro,38.9076353,16.5960465,,,,Ciudad Madero,22.2783046,-97.82426861,,,,Halifax,53.7229229,-1.8604874,,,,Kawasaki,35.523142,139.708024,,,,Boston,42.3602534,-71.0582912,,,,Belfort,47.6379599,6.8628942,,,,Donetsk,48,37.8
,,,Etobicoke,43.67145915,-79.55249207,,,,Ciudad Real,38.95975095,-3.882828339,,,,Cesena,44.136352,12.2422442,,,,Ciudad Obregon,27.4846619,-109.9337782,,,,Hartlepool,54.6857276,-1.2093696,,,,Kochi,33.6569018,133.5606241,,,,Bridgeport,41.1670412,-73.2048348,,,,Besancon,47.2380222,6.0243622,,,,Dushambe,38.56,68.77
,,,Fredericton,45.966425,-66.645813,,,,Cordoba,37.8845813,-4.7760138,,,,Cinisello Balsamo,45.5560579,9.2140112,,,,Ciudad Valles,22.0757924,-99.07337577,,,,Huddersfield,53.6466645,-1.7822482,,,,Kumamoto,32.6450475,130.6341345,,,,Buffalo,42.8867166,-78.8783922,,,,Bethune,50.5199,2.64781,,,,Ekaterinburg,56.83333333,60.58333333
,,,Galt,43.3589869,-80.3152471,,,,Coruna,43.3712091,-8.3958768,,,,Cosenza,39.3099931,16.2501929,,,,Ciudad Victoria,23.7389846,-99.1441352,,,,Hull,53.7435722,-0.3394758,,,,Kurashiki,34.5850791,133.7719957,,,,Chandler,33.3062223,-111.8413317,,,,Beziers,43.3426562,3.2131307,,,,Erevan,40.18,44.51
,,,Glace Bay,46.1949393,-59.9561999,,,,Donostia-San Sebastian,43.3224219,-1.9838889,,,,Cremona,45.1334796,10.0248716,,,,Coatzacoalcos,18.1367924,-94.37775916,,,,Knowsley,53.4552358,-2.8546852,,,,Maebashi,36.3893418,139.0632826,,,,Charlotte,35.2270869,-80.8431268,,,,Blois,47.5876861,1.3337639,,,,Evpatoria,45.2,33.36
,,,Guelph,43.533783,-80.2306337,,,,Ecija,37.5406007,-5.079589,,,,Faenza,44.2855555,11.8832055,,,,Colima - Villa de Alvarez,19.274843,-103.7159042,,,,Leicester,52.6361398,-1.1330789,,,,Matsudo,35.7879371,139.903177,,,,Chattanooga,35.0456297,-85.3096801,,,,Boulogne-sur-Mer,50.7259985,1.6118771,,,,Gomel,52.44,30.98
