cityName,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Reus,46,106849,48,89006,47,87670,49,79245,55,59935,78,32028,67,36062,65,33316,54,31273,49,30367,50,25205,43,26236
Telde,47,101080,51,87949,54,77356,60,62509,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Barakaldo,48,100064,46,94478,41,105088,35,114462,32,109299,32,98280,58,42287,59,36241,53,31577,58,26913,-1,0,-1,0
Lugo,49,98001,49,88414,50,83242,50,72574,50,63616,47,57240,45,53708,49,42860,55,31182,52,28349,27,35796,36,28002
San Fernando,50,96786,50,88073,48,85410,51,72103,58,57279,53,51480,62,41260,52,38651,60,29212,57,27080,48,25643,33,29859
Girona,51,96113,60,74879,58,68656,59,63308,66,47746,63,42930,87,28957,76,28812,71,21839,93,19029,85,17364,99,15700
Caceres,52,95616,53,82716,55,74589,55,65758,60,55354,55,49770,53,45473,51,39286,66,25902,74,23633,86,16966,-1,0
Santiago de Compostela,53,95397,47,90188,46,87807,48,82404,49,65387,43,69930,42,55639,36,49220,44,38380,62,25985,52,24762,47,24223
Lorca,54,91849,56,77477,61,65919,61,61879,54,60389,45,65720,32,71052,81,24557,24,60317,13,74739,10,73069,11,69978
Torrevieja,55,90097,90,50953,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
El Puerto de Santa Maria,56,89012,57,76236,62,65517,66,55748,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Talavera de la Reina,57,87676,58,75369,57,68764,57,64840,73,39918,71,35910,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Roquetas de Mar,58,86799,93,50096,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Guadalajara,59,84404,63,68248,65,63649,74,52313,83,31687,-1,0,-1,0,91,21542,78,16100,-1,0,-1,0,-1,0
Toledo,60,83872,62,68382,68,59802,69,54335,69,44241,66,39780,64,40231,63,34649,62,27462,64,25344,73,22346,52,23475
