Kawaguchi	460073	Nagasaki	444690	Gifu	410456	Iwaki	327228	Iwaki	260198	Sasebo	203550	Fuse	134755	Ômuta	97346	Utsunomiya	63884	Toyohashi	54742	Naha	43169
Kanazawa	456413	Matsuyama	443386	Kurashiki	403899	Funabashi	325431	Kurashiki	252396	Kurashiki	199253	Toyama	127937	Tokushima	90698	Gifu	62750	Utsunomiya	54017	Maebashi	41772
Ichikawa	448665	Kanazawa	442973	Matsuyama	401792	Matsuyama	322969	Hakodate	243018	Iwaki	188967	Ômuta	124301	Maebashi	84931	Maebashi	62391	Kôfu	53789	Gifu	40236
Utsunomiya	443843	Kawaguchi	438774	Matsudo	400927	Kawaguchi	305987	Chiba	241646	Matsuyama	174564	Tokushima	119697	Kurume	83014	Toyama	61811	Gifu	51688	Yamagata	40202
Ôita	436539	Ichikawa	436683	Hachiôji	387265	Utsunomiya	301262	Utsunomiya	239067	Akita	167550	Matsuyama	117596	Asahikawa	82577	Asahikawa	61398	Maebashi	50188	Matsuyama	37885
Wakayama	432177	Utsunomiya	426816	Kawaguchi	379436	Asahikawa	288550	Matsuyama	238672	Kôchi	161637	Takamatsu	111224	Matsuyama	82543	Fukui	56673	Tsu	47362	Takamatsu	37404
Kurashiki	430316	Kurashiki	414725	Utsunomiya	377756	Nagano	285431	Takamatsu	228287	Yokkaichi	158624	Muroran	107656	Aomori	82152	Kôfu	56222	Aomori	47141	Nagano	37272
Nagasaki	423270	Gifu	410304	Ichikawa	364211	Sagamihara	278398	Naha	223004	Utsunomiya	157350	Kôchi	106651	Utsunomiya	81413	Muroran	56104	Yamagata	45414	Himeji	36582
Gifu	402885	Ôita	408531	Ôita	360527	Naha	276429	Toyohashi	215527	Maebashi	156999	Himeji	104350	Takamatsu	79907	Naha	53917	Matsuyama	45272	Hirosaki	36415
Fujisawa	379284	Fukuyama	365694	Asahikawa	352694	Takamatsu	274433	Fuse	212894	Numazu	156536	Kôfu	102453	Kôfu	79456	Matsuyama	51370	Takasaki	44146	Mito	36215
Fukuyama	378838	Asahikawa	359133	Fukuyama	346002	Fuji	269547	Toyama	207332	Toyama	154572	Ube	100747	Kôchi	77007	Matsumoto	50063	Morioka	43562	Tsu	36103
Machida	377597	Iwaki	355808	Iwaki	342197	Toyama	269362	Numazu	205672	Yamagata	150470	Aomori	99197	Toyama	75121	Kôchi	49340	Mito	43236	Utsunomiya	36030
Toyohashi	364951	Fujisawa	350378	Nagano	324494	Numazu	267101	Akita	203715	Fuse	150167	Fukui	98073	Nagano	73926	Aomori	48926	Hamamatsu	43044	Kôchi	35594
