,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Mississauga,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,20,172433,11,315121,11,463443,8,612925,-1,0
Burnaby,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,26,124246,30,136552,29,158943,22,193954,-1,0
Surrey,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,32,98604,28,147140,22,245237,14,347825,-1,0
Saint-Leonard,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,60,52071,49,79441,68,73134,77,69604,-1,0
Chilliwack,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,62,50728,65,63410,62,79263,55,88183,39,97582
Saint-Hubert,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,82,36984,70,60628,65,74002,66,75912,-1,0
Markham,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,36714,52,77076,31,153806,21,208615,-1,0
West Vancouver,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,36423,-1,0,-1,0,-1,0,-1,0
Pointe-aux-Trembles,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,35662,-1,0,-1,0,-1,0,-1,0
Anjou,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,33919,95,37387,-1,0,-1,0,-1,0
Chateauguay,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,33785,96,36978,-1,0,-1,0,52,66445
Charlesbourg,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,33408,59,68381,73,70825,75,70310,-1,0
Pierrefonds,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,33096,89,38433,97,48776,91,54963,-1,0
Pickering,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,31749,93,37826,77,68459,57,87139,-1,0
Gatineau,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,55,75058,55,92352,51,102898,-1,0
Delta,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,56,74792,56,89025,53,96950,-1,0
Beauport,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71,60494,75,69219,71,72813,-1,0
Brossard,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,52290,80,64869,82,65026,-1,0
Dollard-des-Ormeaux,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,39949,-1,0,-1,0,-1,0
Stoney Creek,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,36828,94,50015,-1,0,-1,0
Vaughan,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,47,111460,24,182022,-1,0
Gloucester,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,48,110781,-1,0,-1,0
Nepean,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,49,107675,-1,0,-1,0
Coquitlam,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,84007,46,112890,-1,0
Chatmam,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,64,74191,-1,0,-1,0
Ajax,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,57446,70,73753,-1,0
Repentigny,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,49663,93,54550,-1,0
St. Catharines,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,40,129170,-1,0
Cape Breton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,49,105968,35,103116
Langley,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,86896,-1,0
LaSalle,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,69,73983,-1,0
Strathcona County,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,71986,-1,0
Clarington,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,76,69834,-1,0
Kawartha Lakes,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,69179,-1,0
Maple Ridge,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,83,63169,-1,0
Norfolk,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,60847,-1,0
St. Albert,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,53081,-1,0
Port Coquitlam,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,51257,-1,0
Caledon,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,97,50595,-1,0
White Rock,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,43,85062
Milton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,48,75880
Fort McMurray,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,53,60555
Vernon,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,56,60123
Grande Prairie,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,58,55236
Leamington,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,61,50625
Beloeil,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,62,48688
Courtenay,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,68,43346
Penticton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,69,43218
Airdrie,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,71,42844
Georgetown,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,74,40185
Midland,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,77,36137
Sorel-Tracy,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,35770
Bowmanville-Newcastle,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,79,35168
Campbell River,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,80,33448
Orangeville,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,84,29007
Spruce Grove,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,85,27970
Lloydminster,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,86,27769
Bolton,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,87,27108
Keswick-Elmhurst Beach,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,88,26002
Val-dOr,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,89,25023
Saint-Georges,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,24940
Stouffville,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,91,24654
Okotoks,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,92,24470
Quispamsis-Rothesay,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,93,23862
Leduc,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,94,23827
Bradford,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,23024
Innisfil,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,96,20365
Cochrane,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,99,17433
