,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Lindsay,46,6193,-1,0,-1,0,-1,0,93,8497,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Truro,47,6054,53,6159,65,7683,-1,0,78,10317,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Barrie,48,5681,51,6420,67,6936,62,7736,81,9748,65,21858,47,36430,59,60717,38,101196,37,126495,28,161642,19,194432
Salaberry-de-Valleyfield,49,5565,-1,0,-1,0,-1,0,48,17102,61,23558,57,29882,81,37473,-1,0,-1,0,-1,0,75,38323
Dawson,51,5077,61,3041,85,1088,92,855,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Esquimalt,52,5020,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Collingwood,53,4982,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Cobourg,54,4852,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Niagara Falls,55,4648,40,9742,38,14837,35,19088,40,20649,35,37966,27,75932,24,126554,20,210923,15,351539,12,394772,11,404524
Pembroke,56,4473,-1,0,-1,0,-1,0,74,11249,95,15240,92,18860,-1,0,-1,0,-1,0,-1,0,-1,0
Brandon,57,4340,45,7570,36,15477,42,17188,45,17632,55,24632,63,28277,-1,0,99,36240,-1,0,-1,0,64,45624
Calgary,58,4290,10,43703,8,63312,8,83879,9,88927,7,177938,8,279183,9,403326,5,626020,4,768650,4,1007469,4,1300352
Port Hope,59,4227,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ingersoll,60,4224,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
