city,c1900,city,c1910,city,c1920,city,c1930,city,c1940,city,c1950,city,c1960,city,c1970,city,c1980,city,c1990,city,2000,city,2010
New Haven,108044,Toledo,168583,Saint Paul,234755,Oakland,284136,Jersey City,301230,Louisville,369200,Newark,405249,Nashville-Davidson,448013,Pittsburgh,424049,Portland,437370,Tucson,486778,Louisville,597337
Paterson,105235,Atlanta,154866,Oakland,216307,Saint Paul,271674,Dallas,294705,San Diego,334408,Louisville,390678,San Jose,445824,Oklahoma City,404094,Kansas City,435168,New Orleans,484752,Milwaukee,594833
Omaha,102670,Oakland,150289,Akron,208418,Atlanta,270496,Memphis,292929,Rochester,332524,Portland,372752,Minneapolis,434469,Cincinnati,385435,Long Beach,429472,Cleveland,478494,Albuquerque,545852
Los Angeles,102522,Worcester,146012,Atlanta,200667,Dallas,260592,Saint Paul,287794,Atlanta,331344,Oakland,367539,Fort Worth,393520,Fort Worth,385258,Tucson,405420,Las Vegas,478435,Tucson,520116
Memphis,102323,Syracuse,137273,Omaha,191635,Birmingham,259727,Toledo,282324,Birmingham,326088,Fort Worth,356303,Toledo,383829,Minneapolis,371032,Saint Louis,396789,Long Beach,461513,Fresno,494665
Lowell,95022,New Haven,133696,Worcester,179855,Akron,255058,Birmingham,267645,Saint Paul,311335,Birmingham,340939,Portland,382678,Portland,368182,Charlotte,395914,Albuquerque,448649,Sacramento,466488
Albany,94287,Birmingham,132755,Birmingham,178850,Memphis,253127,San Antonio,253947,Toledo,303672,Oklahoma City,324331,Newark,382491,Honolulu,365003,Atlanta,394005,Kansas City,441560,Kansas City,459787
Cambridge,91950,Memphis,131167,Richmond,171772,Providence,253057,Providence,253581,Jersey City,299005,Rochester,318631,Oklahoma City,366584,Tulsa,360940,Virginia Beach,393151,Fresno,427794,Long Beach,462257
Portland,90421,Richmond,127689,Syracuse,171743,San Antonio,231517,Akron,244900,Fort Worth,278895,Toledo,318035,Oakland,361620,Long Beach,358662,Albuquerque,384783,Virginia Beach,425314,Mesa,439041
Atlanta,89922,Paterson,125616,New Haven,162567,Omaha,214069,Omaha,223807,Akron,274670,Saint Paul,313443,Louisville,361577,Buffalo,357950,Oakland,372230,Atlanta,416598,Atlanta,420003
Grand Rapids,87675,Omaha,124174,Memphis,162490,Syracuse,209264,Dayton,210735,Omaha,251194,Omaha,310611,Omaha,347387,Toledo,354636,Pittsburgh,369922,Sacramento,407038,Colorado Springs,416427
Dayton,85400,Dayton,116622,San Antonio,161452,Dayton,201096,Syracuse,206044,Miami,249393,Norfolk,304962,Long Beach,344272,Miami,346779,Sacramento,369412,Oakland,399503,Virginia Beach,437994
Richmond,85182,Grand Rapids,112617,Dallas,159053,Worcester,195388,Oklahoma City,204452,Providence,248706,Honolulu,294232,Miami,334907,Austin,345904,Minneapolis,368452,Mesa,396460,Raleigh,403892
Nashville-Davidson,80932,Nashville-Davidson,110440,Dayton,152681,Oklahoma City,185444,San Diego,203347,Honolulu,248087,Miami,291718,Tulsa,331654,Oakland,339313,Tulsa,367382,Tulsa,393095,Omaha,408958
Seattle,80793,Lowell,106318,Bridgeport,143680,Richmond,182940,Worcester,193765,Dayton,243937,Akron,290437,Honolulu,324988,Albuquerque,332923,Honolulu,365309,Omaha,390035,Miami,399457
Hartford,79962,Cambridge,104832,Houston,138389,Youngstown,170051,Richmond,193082,Oklahoma City,243501,El Paso,276723,El Paso,322398,Tucson,330512,Cincinnati,364061,Minneapolis,382668,Oakland,390724
Wilmington,76592,Spokane,104450,Hartford,138094,Grand Rapids,168651,Honolulu,179303,Richmond,230342,Jersey City,276106,Saint Paul,310008,Newark,329232,Miami,358523,Honolulu,371743,Minneapolis,382578
Bridgeport,71074,Bridgeport,102110,Grand Rapids,137663,Hartford,164152,Fort Worth,177797,Syracuse,220669,Tampa,275055,Norfolk,308097,Charlotte,315541,Fresno,354278,Miami,362567,Tulsa,391906
Oakland,67040,Albany,100356,Paterson,135964,Fort Worth,163447,Jacksonville,173156,Norfolk,213508,Dayton,262351,Birmingham,300997,Omaha,313956,Omaha,335859,Colorado Springs,360932,Wichita,382368
