city,Pop1840,city,Pop1856,city,Pop1897,city,Pop1926,city,Pop1939,city,Pop1959,city,Pop1970,city,Pop1979,city,Pop1989,city,Pop2002,city,Pop2010
Dniepropetrovsk,21796,Ulianovsk,26568,Orel,69735,Voronezh,116600,Yaroslavl,299400,Tula,479935,Voronezh,711104,Voronezh,851677,Voronezh,971439,Bishkek,835978,Novokuznetsk,924307
Babruisk,20710,Rostov-on-Don,26546,Daugavpils,69675,Yaroslavl,112200,Zaporizhzha,289280,Voronezh,470672,Krasnoyarsk,680637,Krasnoyarsk,845519,Riga,934805,Zaporizhzha,814473,Bishkek,872848
Michurinsk,20403,Simferopol,26481,Chernivtsi,68000,Chernivtsi,112000,Omsk,288900,Almaty,464322,Zaporizhzha,657890,Zaporizhzha,780745,Zaporizhzha,883909,Riga,768947,Dushambe,796000
Tallinn,20284,Minsk,25525,Zhitomir,65895,Omsk,111200,Arkhangelsk,284600,Zaporizhzha,451137,Tula,652797,Tula,713263,Lviv,812356,Toljatti,763714,Krasnodar,789741
Ryazan,19949,Samara,24405,Vitebsk,65871,Chisi0u,110899,Astrakhan,253600,Krivii Rig,431185,Krivii Rig,625945,Krivii Rig,696304,Vladivostok,803535,Lviv,755054,Zaporizhzha,780733
Penza,19741,Irkutsk,24103,Krasnodar,65606,Tver,106200,Irkutsk,250200,Krasnoyarsk,423497,Lviv,568403,Lviv,685817,Krivii Rig,758216,Dushambe,739231,Toljatti,775074
Rostov-on-Don,19673,Penza,23772,Liepeja,64489,Samarkand,105106,Ufa,250000,Lviv,417872,Vladivostok,556824,Vladivostok,684366,Tula,735350,Vladivostok,734928,Lviv,760391
Kherson,19577,Voljsk,23499,Tiraspol,63413,Vladivostok,103300,Vladivostok,241300,Yaroslavl,407100,Gorlivka,556489,Krasnodar,640387,Chisi0u,727123,Krasnodar,731969,Mahachkala,758892
Nizhin,18312,Elec,23188,Kremenchuk,63007,Irkutsk,102700,Minsk,237495,Nizhni-Tagil,397200,Krasnodar,528799,Yaroslavl,597000,Krasnodar,697023,Ashgabat,727286,Vladivostok,733964
Vitebsk,17861,Mogilev,22815,0mangan,62017,Mikolaiv,101182,Almaty,222000,Irkutsk,378900,Yaroslavl,517300,Bar0ul,596582,Toljatti,685424,Krivii Rig,705866,Karagandy,732973
Novocherkask,17846,Tiraspol,22694,Kirovograd,61488,Kau0s,99157,Maryupol' / Jdanov,221529,Vladivostok,372968,Bar0ul,500098,Irkutsk,590400,Irkutsk,673800,Karagandy,705378,Riga,730109
Ulianovsk,17739,Dniepropetrovsk,22619,Penza,59981,Ufa,97700,Luhansk,218780,Krasnodar,359119,Irkutsk,480900,Bishkek,569912,Bar0ul,672493,Bar0ul,679307,Chisi0u,700000
Zhitomir,17434,Tambov,21950,Kherson,59076,Kursk,96900,Tver,216100,Ivanovo,355500,Kemerovo,453996,Toljatti,554137,Dushambe,658174,Chisi0u,663671,Bar0ul,682529
Tver,17325,Ryazan,21449,Ivanovo,57508,Pyatigorsk,96700,Erevan,213997,Kemerovo,346779,Bishkek,452328,Gorlivka,552663,Ulianovsk,651289,Ulianovsk,663574,Krivii Rig,670397
Kremenchuk,17087,Vitebsk,20728,Volgograd,55186,Tomsk,92300,Vilnius,209400,Kramatorsk,345108,Nizhni-Tagil,444600,Izhevsk,548700,Bishkek,650578,Tula,658671,Ulianovsk,640205
Tobolsk,16362,Michurinsk,20554,Samarkand,55128,Vitebsk,91201,Krasnodar,205986,Bar0ul,344438,Ivanovo,441900,Kemerovo,539359,Izhevsk,635100,Irkutsk,641124,Irkutsk,635185
Vologda,16324,Poltava,20516,Sevastopol,54810,Penza,91200,Khabarovsk,199200,Khabarovsk,322700,Khabarovsk,436000,Dushambe,533874,Yaroslavl,633000,Izhevsk,632140,Izhevsk,628116
