FUZHOU,2921762,NANCHANG,1818628,SHIJIAZHUANG,1390206,CHANGSHA,1076413,Zhengzhou,15000,Qiqihar,70400,Dandong,27100,Xi'an,21800,Jiangmen,7000,Jiujiang,3600,,
WULUMUQI,2907201,WULUMUQI,1753298,FUSHUN,1388011,NANCHANG,1061497,Suzhou,13000,Suzhou,65100,Zhanjiang,27100,Baoding,21600,Nanning,6580,Qiqihar,3000,,
SHIJIAZHUANG,2834942,HEFEI,1659075,NANCHANG,1369171,QIQIHAER,1016221,Jilin,12000,Xianggang,63300,Nanchang,26700,Fushun,21500,Yichang,6000,Harbin,2860,,
NANNING,2688433,JILIN,1652616,JILIN,1320208,WENZHOU,989891,Tangshan,12000,Shijiazhuang,62300,Jilin,24700,Dandong,21100,Qiongshan,5900,Beihai,2000,,
LANZHOU,2600708,CHANGSHA,1650141,BAOTOU,1248391,WEIFANG,987560,Zhangjiakou,10000,Fuzhou,62300,Guiyang,24200,Xuzhou,20500,Jiujiang,5450,Lhasa,1700,,
WUXI,2562129,SHIJIAZHUANG,1650141,WULUMUQI,1244443,LUOYANG,975764,Nanchang,9000,Wuxi,61600,Yantai,22700,Lanzhou,20500,Beihai,3500,Yilan,1550,,
GUIYANG,2435570,XIAMEN,1586741,HUAINAN,1239952,WULUMUQI,961829,Wuxi,9000,Jilin,58300,Nantong,22600,Wuzhou,20300,Lhasa,2000,,,,
NANCHANG,2334469,NINGBO,1567499,LUOYANG,1202192,NINGBO,956675,Changsha,8500,Guiyang,53000,Lanzhou,22400,Zhengzhou,19700,,,,,,
SUZHOU,2222014,TANGSHAN,1547258,NANNING,1163948,SHIJIAZHUANG,943682,Baotou,8000,Nanchang,52000,Zigong,22300,Shantou,19600,,,,,,
LINYI,2155437,LINYI,1483941,QIQIHAER,1161605,HANDAN,938082,Hangzhou,7940,Dalian,50800,Shantou,21500,Shijiazhuang,19400,,,,,,
NINGBO,2132399,NANNING,1464560,HANDAN,1151858,BAOTOU,916511,Benxi,7500,Luoyang,50000,Ningbo,21000,Kunming,18400,,,,,,
XINYI,2080062,FUSHUN,1434447,NINGBO,1142429,NANNING,862732,Jinzhou,7500,Baotou,49000,Wuzhou,20700,Taiyuan,17700,,,,,,
YINCHUAN,2057746,BAOTOU,1432575,HEFEI,1110778,HEFEI,821812,Luoyang,7500,Benxi,44900,Wuhu,20400,Xiamen,17700,,,,,,
WEIFANG,2044028,WUXI,1393381,WENZHOU,1110642,WUXI,812610,Fuzhou,7000,Haikou,40200,Taiyuan,20000,Zigong,17600,,,,,,
BAOTOU,1948654,XUZHOU,1392707,WEIFANG,1088814,BENXI,792401,Hohhot,7000,Jinzhou,40000,Nanning,20000,Wuhu,16800,,,,,,
XUZHOU,1928444,ANSHAN,1389660,DAQING,1025949,XUZHOU,779289,Xianggang,5216,Handan,38000,Mudanjiang,20000,Yantai,16600,,,,,,
PUYANG,1859305,SUZHOU,1344709,WUXI,1013606,JIXI,766731,Haikou,5000,Dandong,37000,Shijiazhuang,19800,Fuxin,16000,,,,,,
JILIN,1763110,HANDAN,1329734,SHENZHEN,975512,DAQING,764045,Handan,5000,Hefei,36000,Liuzhou,19400,Yingkou,16000,,,,,,
CHANGZHOU,1721884,QIQIHAER,1316602,XUZHOU,949267,YANTAI,743958,Ürümqi,5000,Zhangjiakou,35000,Liaoyuan,18500,Nantong,15500,,,,,,
TAIZHOU,1699810,WEIFANG,1263016,BENXI,937805,SHENZHEN,695112,Dandong,4500,Bengbu,33000,Hengyang,18400,Chao'an,15200,,,,,,
HUHEHAOTE,1681693,DAQING,1236933,SUZHOU,882677,JINGZHOU,677673,Fuxin,4000,Hohhot,32000,Fuxin,18000,Shaoxing,14900,,,,,,
TANGSHAN,1675612,LUOYANG,1233775,YICHUN,882236,SUZHOU,673308,Mudanjiang,4000,Ürümqi,32000,Qiqihar,17500,Zhangjiakou,14600,,,,,,
DAQING,1612519,TAIZHOU,1200809,SHANTOU,872360,YICHUN,669059,Shantou,4000,Kaifeng,31800,Jiamusi,16800,Tangshan,14600,,,,,,
SHANTOU,1600798,YANTAI,1084160,ZIBO,869779,HAIZHOU,658638,Xiamen,4000,Xiamen,30800,Anshan,16600,Guiyang,14500,,,,,,
CHENGSHI,1600699,CHANGZHOU,1081845,YANTAI,847285,ZHANJIANG,655704,Bengbu,3750,Changzhou,30000,Yingkou,15900,Foshan,13500,,,,,,
HUICHENG,1579818,HUAINAN,1080484,JIXI,835496,TAIZHOU,621867,Nanning,3750,Xining,30000,Xiamen,15800,Jilin,13200,,,,,,
FUYANG,1537421,PUYANG,969923,PUYANG,832715,HUAINAN,607694,Baoding,3500,Fuxin,29000,Wenzhou,15700,Yangzhou,12700,,,,,,
ANSHAN,1450003,LIUZHOU,963662,LIUZHOU,829966,ZHANGJIAKOU,605906,Hegang,3500,Huainan,28000,Hefei,15300,Hengyang,12200,,,,,,
HANDAN,1445338,BENXI,943774,TAIZHOU,761037,XINING,589967,Huainan,3500,Ningbo,28000,Zhangjiakou,15100,Anshan,12000,,,,,,
LIUZHOU,1436599,JINGZHOU,909698,JINGZHOU,744432,LIUZHOU,585369,Jixi,3500,Zigong,28000,Zhengzhou,15000,Anqing,11700,,,,,,
FUSHUN,1431014,BAODING,902496,HAIZHOU,743165,MUDANJIANG,580984,Ningbo,3500,Jingdezhen,26600,Jinzhou,14800,Jinzhou,10500,,,,,,
YONGQIAO,1426001,CHANGDE,899703,JINZHOU,736297,JINZHOU,575299,Zigong,3500,Baoding,26500,Tangshan,13700,Xiangtan,10300,,,,,,
LIANYUNGANG,1424057,SHANTOU,888131,CHANGZHOU,731182,HEGANG,567159,Kaifeng,3300,Nanning,26400,Weifang,13400,Nanning,10100,,,,,,
NANAN,1418451,ZHANGJIAKOU,872361,MUDANJIANG,722220,ZIBO,544849,Yumen,3250,Jixi,25300,Xiangtan,13300,Mudanjiang,10000,,,,,,
YANTAI,1418108,XIANGFAN,871388,ZHANGJIAKOU,720814,DANDONG,537745,Changzhi,3000,Mudanjiang,25100,Taizhou,13100,Weifang,9800,,,,,,
QIQIHAER,1415897,PINGDINGSHAN,871274,XIAMEN,712375,LINYI,530318,Changzhou,3000,Shantou,25000,Guilin,13100,Qiqihar,9400,,,,,,
LUOYANG,1404850,MIANYANG,865807,ZHANJIANG,705844,XINXIANG,508604,Datong,3000,Jiaozuo,25000,Baoding,13000,Hefei,9400,,,,,,
HUAINAN,1369586,JIXI,858962,BENGBU,704256,BAODING,502394,Jiaozuo,3000,Boshan,25000,Yangzhou,12700,Anyang,9400,,,,,,
DATONG,1348231,XINING,854466,PINGDINGSHAN,700039,CHANGZHOU,500737,Jingdezhen,3000,Xiangtan,24700,Quanzhou,12100,Hohhot,9400,,,,,,
CHAOAN,1334796,YUEYANG,845109,XINING,697780,HUAIBEI,497424,Lianyungang,3000,Datong,24300,Anyang,11500,Changshu,9400,,,,,,
XIANGFAN,1294733,ZHUZHOU,837102,HEGANG,674425,YANGQUAN,490353,Nantong,3000,Nantong,24000,Liaoyang,11000,Liaoyang,9000,,,,,,
YUEYANG,1213881,ZHANJIANG,832273,LINYI,672624,JIAOZUO,487641,Wuhu,3000,Wuhu,24000,Anqing,10900,Guilin,8800,,,,,,
XINING,1198304,YINCHUAN,814518,DANDONG,660518,DOUMEN,481858,Xiangtan,3000,Hengyang,24000,Shaoyang,10600,Shaoyang,8300,,,,,,
