city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Brockville,8812,Guelph,14432,Guelph,18188,Sault Sainte Marie,23108,Oshawa,28848,Kingston,48067,Shawinigan,63527,Thunder Bay,111590,Sherbrooke,139767,Burnaby,158943,Saguenay ,160973,Brantford,139845
Sarnia,8292,Saint Boniface,13821,Westmount,17630,Sydney,22537,Timmins,28833,Sudbury,46040,Kingston,63487,Saint John,106704,Burnaby,136552,Sudbury,157623,Kelowna ,155950,Saint John,129827
Cambridge,7560,Moose Jaw,13812,Moncton,17568,Peterborough,22304,Sydney,28351,Peterborough,45148,Sarnia,61331,East York,104993,Longueuil,124342,Markham,153806,Abbotsford ,155316,Thunder Bay,125024
Owen Sound,7540,Lethbridge,12073,Glace Bay,17076,Guelph,21113,Westmount,26031,Sarnia,43118,Sault Sainte Marie,58578,Surrey,98604,Thunder Bay,121432,Kingston,136450,Sudbury ,155219,Peterborough,122472
Galt,7506,Saskatoon,12048,Stratford,16100,Moncton,20753,Sault Sainte Marie,25810,Saint Catharines,39454,Hull,56905,Trois-Rivieres,97936,Kingston,115020,Trois-Rivieres,136373,Kingston ,154919,Lethbridge,111299
Waterloo,7385,Sarnia,11627,Saint-Thomas,16097,Glace Bay,20721,Glace Bay,25154,Saanich,38010,Brantford,56779,Longueuil,97532,Burlington,114911,Longueuil,129918,Burlington ,150836,Belleville,104710
Levis,7351,Moncton,11368,Lachine,15487,Niagara Falls,19088,Guelph,23353,Niagara Falls,37966,Moncton,55831,Sault Sainte Marie,95329,Saint John,114012,Burlington,129615,Oakville ,144738,Cape Breton,103116
Thunder Bay,7211,Charlottetown,11213,Brandon,15477,Moose Jaw,19078,Moose Jaw,23181,Sault Sainte Marie,37129,St. Johns,55200,Sydney,91216,Trois-Rivieres,111523,Richmond,126678,Trois-Rivieres ,143138,Kamloops,102072
Saint-Hyacinthe,7076,Belleville,11102,Sarnia,14963,Lachine,18618,Moncton,22825,Saint-Laurent,35827,Burlington,47026,St. Johns,87900,East York,102075,Barrie,126495,Richmond Hill ,132030,Nanaimo,101242
New Westminster,6767,Chatham,9821,Niagara Falls,14837,Sudbury,18554,New Westminster,22016,Moncton,35610,Dartmouth,47007,Burlington,86182,Barrie,101196,Kelowna,125314,Guelph ,131172,Sarnia,99547
Sorel,6765,Niagara Falls,9742,New Westminster,14512,Sarnia,18296,Saint Boniface,21667,Guelph,35027,Saint Boniface,45539,Peterborough,80622,Peterborough,100778,Saint John,125068,Brantford ,129629,Chilliwack,97582
Cornwall,6764,Amherst,9048,Chatham,13395,Stratford,17729,Niagara Falls,20649,Lachine,34383,Guelph,43784,Kelowna,80200,Kelowna,100251,Thunder Bay,124465,St. Catharines ,129170,Drummondville,93046
